生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
運動,yùn dòng,vận động / thể thao,ออกกำลังกาย / กีฬา,exercise / sports,昨天小明在學校運動了一整天，所以今天上班時覺得很累。,"Hôm qua Tiểu Minh vận động cả ngày ở trường, nên hôm nay khi đi làm cậu ấy cảm thấy rất mệt.",เมื่อวานเสี่ยวหมิงออกกำลังกายที่โรงเรียนทั้งวัน ดังนั้นวันนี้ตอนทำงานเขารู้สึกเหนื่อยมาก,"Yesterday Xiaoming exercised at school all day, so he felt very tired at work today."
一整天,yì zhěng tiān,cả ngày,ทั้งวัน,all day,昨天小明早上去跑步，下午去打球，晚上又去散步，真的運動了一整天。,"Hôm qua Tiểu Minh buổi sáng đi chạy bộ, buổi chiều đi chơi bóng, buổi tối lại đi dạo; thật sự đã vận động cả ngày.",เมื่อวานเสี่ยวหมิงตอนเช้าไปวิ่ง ตอนบ่ายไปเล่นบอล ตอนกลางคืนยังไปเดินเล่น เขาออกกำลังกายทั้งวันจริง ๆ,"Yesterday Xiaoming went running in the morning, played ball in the afternoon, and took a walk at night; he really exercised all day."
累,lèi,mệt,เหนื่อย,tired,哥哥昨天很晚才睡，今天早上起床以後覺得很累。,"Anh trai hôm qua ngủ rất muộn, nên sáng nay sau khi thức dậy cảm thấy rất mệt.",พี่ชายเมื่อวานนอนดึกมาก เช้านี้หลังตื่นนอนจึงรู้สึกเหนื่อยมาก,"My older brother slept very late yesterday, so he felt very tired after getting up this morning."
說話,shuō huà,nói chuyện,พูด,to speak,老師上課的時候說話很慢，所以外國學生都聽得懂。,"Khi lên lớp, giáo viên nói rất chậm, nên học sinh nước ngoài đều nghe hiểu.",ตอนครูสอน ครูพูดช้ามาก ดังนั้นนักเรียนต่างชาติทุกคนจึงฟังเข้าใจ,"The teacher speaks very slowly in class, so the foreign students can understand."
說不了話,shuō bù liǎo huà,không nói nổi,พูดไม่ออก,unable to speak,小美今天感冒很嚴重，喉嚨很痛，幾乎說不了話。,"Hôm nay Tiểu Mỹ bị cảm rất nặng, cổ họng rất đau, gần như không nói nổi.",วันนี้เสี่ยวเหม่ยเป็นหวัดหนักมาก เจ็บคอมาก จนแทบพูดไม่ออก,"Xiaomei has a bad cold today, and her throat hurts so much that she can hardly speak."
沒辦法,méi bàn fǎ,không có cách nào / không thể,ไม่มีทาง / ไม่สามารถ,cannot / no way,如果你明天還是這麼累，就沒辦法去公司上班。,"Nếu ngày mai bạn vẫn mệt như vậy, bạn sẽ không thể đi làm ở công ty.",ถ้าพรุ่งนี้คุณยังเหนื่อยแบบนี้ ก็จะไปทำงานที่บริษัทไม่ได้,"If you are still this tired tomorrow, you will not be able to go to work at the company."
請假,qǐng jià,xin nghỉ phép,ขอลา,to ask for leave,小明早上身體不舒服，所以打電話給經理請假。,"Sáng nay Tiểu Minh không khỏe, nên đã gọi điện cho quản lý để xin nghỉ.",เช้านี้เสี่ยวหมิงไม่สบาย จึงโทรหาผู้จัดการเพื่อขอลา,"Xiaoming did not feel well this morning, so he called his manager to ask for leave."
起不了床,qǐ bù liǎo chuáng,không dậy nổi,ลุกจากเตียงไม่ได้,cannot get out of bed,弟弟昨天晚上太晚睡，今天早上媽媽叫了三次，他還是起不了床。,Em trai tối qua ngủ quá muộn; sáng nay mẹ gọi ba lần mà em ấy vẫn không dậy nổi.,น้องชายเมื่อคืนเข้านอนดึกเกินไป เช้านี้แม่ปลุกสามครั้งแล้วเขาก็ยังลุกจากเตียงไม่ได้,"My younger brother went to bed too late last night; this morning, even after Mom called him three times, he still could not get out of bed."
旅行,lǚ xíng,du lịch,การท่องเที่ยว,travel / trip,上個禮拜小美去臺南旅行，她覺得那裡交通方便，風景也很漂亮。,Tuần trước Tiểu Mỹ đi du lịch Đài Nam; cô ấy thấy ở đó giao thông thuận tiện và phong cảnh cũng rất đẹp.,สัปดาห์ที่แล้วเสี่ยวเหม่ยไปเที่ยวไถหนาน เธอรู้สึกว่าที่นั่นการเดินทางสะดวกและวิวก็สวยมาก,"Last week Xiaomei traveled to Tainan, and she felt that transportation there was convenient and the scenery was beautiful."
交通,jiāo tōng,giao thông,การเดินทาง / การจราจร,transportation / traffic,這個城市的交通很方便，學生每天坐公車上學都不會太累。,Giao thông của thành phố này rất thuận tiện; học sinh đi xe buýt đến trường mỗi ngày cũng không quá mệt.,การเดินทางในเมืองนี้สะดวกมาก นักเรียนนั่งรถเมล์ไปโรงเรียนทุกวันก็ไม่เหนื่อยเกินไป,"Transportation in this city is convenient, so students are not too tired when taking the bus to school every day."
方便,fāng biàn,thuận tiện,สะดวก,convenient,小王的新家離捷運站很近，所以他覺得上班很方便。,"Nhà mới của Tiểu Vương rất gần ga tàu điện, nên cậu ấy thấy đi làm rất thuận tiện.",บ้านใหม่ของเสี่ยวหวังอยู่ใกล้สถานีรถไฟฟ้ามาก ดังนั้นเขารู้สึกว่าไปทำงานสะดวกมาก,"Xiaowang’s new home is very close to the metro station, so he feels it is convenient to go to work."
風景,fēng jǐng,phong cảnh,วิว / ทิวทัศน์,scenery,我們爬到山上以後，看見了很美的風景，大家都拍了很多照片。,"Sau khi chúng tôi leo lên núi, chúng tôi nhìn thấy phong cảnh rất đẹp, nên mọi người đều chụp nhiều ảnh.",หลังจากพวกเราปีนขึ้นเขา ก็เห็นวิวที่สวยมาก ทุกคนจึงถ่ายรูปกันเยอะมาก,"After we climbed the mountain, we saw beautiful scenery, so everyone took many photos."
漂亮,piào liàng,đẹp,สวย,beautiful,這家旅館前面的花園很漂亮，很多客人都喜歡在那裡拍照。,"Khu vườn trước khách sạn này rất đẹp, nên nhiều khách đều thích chụp ảnh ở đó.",สวนหน้าที่พักแห่งนี้สวยมาก แขกหลายคนจึงชอบถ่ายรูปที่นั่น,"The garden in front of this hotel is beautiful, so many guests like taking photos there."
