生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
五歲,wǔ suì,năm tuổi,ห้าขวบ,five years old,王明五歲的時候離開家，長大後一直想找到爸爸。,"Khi Vương Minh năm tuổi, cậu ấy rời khỏi nhà; lớn lên luôn muốn tìm bố.",ตอนหวังหมิงอายุห้าขวบ เขาจากบ้านไป โตขึ้นแล้วอยากหาพ่อมาตลอด,"When Wang Ming was five years old, he left home and always wanted to find his father after growing up."
的時候,de shí hòu,khi / lúc,ตอนที่ / เมื่อ,when / during,他小時候被不認識的人帶走，家人找了他很多年。,"Khi còn nhỏ, cậu ấy bị người lạ đưa đi, gia đình đã tìm cậu ấy nhiều năm.",ตอนเขายังเด็ก เขาถูกคนที่ไม่รู้จักพาไป ครอบครัวตามหาเขาหลายปี,"When he was young, he was taken away by someone he did not know, and his family looked for him for many years."
自己,zì jǐ,tự mình / bản thân,ตัวเอง / ด้วยตัวเอง,oneself / by oneself,王明想自己上網找爸爸，不想一直麻煩朋友。,"Vương Minh muốn tự lên mạng tìm bố, không muốn cứ làm phiền bạn bè.",หวังหมิงอยากขึ้นอินเทอร์เน็ตหาพ่อด้วยตัวเอง ไม่อยากรบกวนเพื่อนตลอด,Wang Ming wants to search online for his father by himself and does not want to keep troubling his friends.
前面,qián miàn,phía trước,ข้างหน้า,in front,王明家前面有一條小路，他小時候常常在那裡玩。,"Trước nhà Vương Minh có một con đường nhỏ, khi còn nhỏ cậu ấy thường chơi ở đó.",หน้าบ้านของหวังหมิงมีถนนเล็ก ๆ ตอนเด็กเขามักเล่นที่นั่น,"There is a small road in front of Wang Ming’s house, and he often played there as a child."
被,bèi,bị / được,ถูก / โดน,by / passive marker,小狗被一位好心人帶回家照顧。,Con chó bị/may mắn được một người tốt bụng đưa về nhà chăm sóc.,สุนัขถูกคนใจดีคนหนึ่งพากลับบ้านไปดูแล,The dog was taken home and cared for by a kind person.
帶走,dài zǒu,đưa đi / mang đi,พาไป / เอาไป,to take away,弟弟把我的鉛筆帶走了，所以我上課時找不到。,"Em trai đã mang bút chì của tôi đi, nên khi học tôi không tìm thấy.",น้องชายเอาดินสอของฉันไป ดังนั้นตอนเรียนฉันหาไม่เจอ,"My younger brother took my pencil away, so I could not find it during class."
最近,zuì jìn,gần đây,ช่วงนี้ / เมื่อเร็ว ๆ นี้,recently,王明最近常常想爸爸，也常常和朋友談這件事。,Gần đây Vương Minh thường nhớ bố và cũng hay nói chuyện này với bạn.,ช่วงนี้หวังหมิงคิดถึงพ่อบ่อย ๆ และมักคุยเรื่องนี้กับเพื่อน,Recently Wang Ming often thinks about his father and talks about it with his friends.
希望,xī wàng,hy vọng,หวังว่า,to hope,王明希望爸爸知道他已經大學畢業了。,Vương Minh hy vọng bố biết rằng cậu ấy đã tốt nghiệp đại học.,หวังหมิงหวังว่าพ่อจะรู้ว่าเขาเรียนจบมหาวิทยาลัยแล้ว,Wang Ming hopes his father knows that he has graduated from university.
知道,zhī dào,biết,รู้,to know,朋友知道王明想找爸爸，就幫他上網找消息。,Bạn bè biết Vương Minh muốn tìm bố nên giúp cậu ấy lên mạng tìm tin tức.,เพื่อนรู้ว่าหวังหมิงอยากหาพ่อ จึงช่วยเขาหาข่าวทางอินเทอร์เน็ต,"His friends know Wang Ming wants to find his father, so they help him search online for information."
大學畢業,dà xué bì yè,tốt nghiệp đại học,จบมหาวิทยาลัย,to graduate from university,姐姐大學畢業以後，想找一份穩定的工作。,"Sau khi chị gái tốt nghiệp đại học, cô ấy muốn tìm một công việc ổn định.",หลังพี่สาวจบมหาวิทยาลัย เธออยากหางานที่มั่นคง,"After graduating from university, my older sister wants to find a stable job."
上網,shàng wǎng,lên mạng,เข้าอินเทอร์เน็ต,to go online,小美上網查資料，想知道這個活動什麼時候開始。,"Tiểu Mỹ lên mạng tra tài liệu, muốn biết hoạt động này bắt đầu khi nào.",เสี่ยวเหม่ยเข้าอินเทอร์เน็ตค้นข้อมูล อยากรู้ว่ากิจกรรมนี้เริ่มเมื่อไหร่,Xiaomei goes online to search for information and wants to know when the activity starts.
真的,zhēn de,thật sự,จริง ๆ,really / truly,王明找了很多年，最後真的找到爸爸了。,"Vương Minh tìm nhiều năm, cuối cùng thật sự tìm được bố.",หวังหมิงหามาหลายปี ในที่สุดก็หาพ่อเจอจริง ๆ,Wang Ming searched for many years and finally really found his father.
這些年,zhè xiē nián,những năm này / mấy năm qua,หลายปีนี้,these years,這些年爸爸一直沒有放棄，希望有一天可以找到王明。,"Những năm này bố luôn không bỏ cuộc, hy vọng một ngày có thể tìm thấy Vương Minh.",หลายปีนี้พ่อไม่เคยยอมแพ้ หวังว่าสักวันจะหาหวังหมิงเจอ,"All these years, his father has never given up and hopes to find Wang Ming one day."
沒想到,méi xiǎng dào,không ngờ,ไม่คิดว่า / คาดไม่ถึง,unexpectedly / did not expect,爸爸沒想到王明會先找到他，所以非常高興。,"Bố không ngờ Vương Minh sẽ tìm thấy ông trước, nên rất vui.",พ่อไม่คิดว่าหวังหมิงจะเป็นฝ่ายหาเขาเจอก่อน จึงดีใจมาก,"His father did not expect Wang Ming to find him first, so he was very happy."
大家,dà jiā,mọi người,ทุกคน,everyone,王明找到爸爸以後，很感謝大家的幫忙。,"Sau khi Vương Minh tìm được bố, cậu ấy rất cảm ơn sự giúp đỡ của mọi người.",หลังจากหวังหมิงหาพ่อเจอ เขาขอบคุณความช่วยเหลือของทุกคนมาก,"After Wang Ming found his father, he was very grateful for everyone’s help."
幫忙,bāng máng,giúp đỡ,ช่วยเหลือ,to help,如果你有時間，請幫忙照顧一下我的小狗。,"Nếu bạn có thời gian, xin hãy giúp chăm sóc con chó nhỏ của tôi một chút.",ถ้าคุณมีเวลา กรุณาช่วยดูแลสุนัขตัวเล็กของฉันหน่อย,"If you have time, please help take care of my little dog."
認識,rèn shi,quen biết / biết,รู้จัก,to know / meet,王明不認識那位先生，所以沒有跟他一起走。,"Vương Minh không quen người đàn ông đó, nên không đi cùng ông ấy.",หวังหมิงไม่รู้จักผู้ชายคนนั้น จึงไม่ได้ไปกับเขา,"Wang Ming did not know that man, so he did not go with him."
高興,gāo xìng,vui vẻ,ดีใจ,happy / glad,父子兩人見面以後都很高興，也聊了很久。,"Sau khi hai cha con gặp nhau, cả hai đều rất vui và nói chuyện rất lâu.",หลังจากพ่อลูกทั้งสองพบกัน ทั้งคู่ดีใจมากและคุยกันนาน,"After the father and son met, both were very happy and talked for a long time."
一直,yì zhí,liên tục / luôn luôn,ตลอด / อย่างต่อเนื่อง,always / continuously,爸爸一直在找王明，從來沒有忘記他。,"Bố luôn tìm Vương Minh, chưa bao giờ quên cậu ấy.",พ่อตามหาหวังหมิงมาตลอด และไม่เคยลืมเขา,His father has always been looking for Wang Ming and has never forgotten him.
一直在找,yì zhí zài zhǎo,vẫn luôn tìm,ตามหาอยู่ตลอด,has been looking for,王明的爸爸這些年一直在找他，朋友們聽了都很感動。,"Bố của Vương Minh những năm này vẫn luôn tìm cậu ấy, bạn bè nghe xong đều rất cảm động.",พ่อของหวังหมิงตามหาเขามาตลอดหลายปี เพื่อน ๆ ได้ฟังแล้วต่างก็ซาบซึ้ง,"Wang Ming’s father has been looking for him all these years, and his friends were moved when they heard this."
遊戲,yóu xì,trò chơi,เกม / การเล่น,game,小孩玩一個簡單的遊戲，就可以笑得很開心。,Trẻ con chơi một trò chơi đơn giản cũng có thể cười rất vui.,เด็กเล่นเกมง่าย ๆ เกมหนึ่งก็สามารถหัวเราะอย่างมีความสุขได้,Children can laugh happily even when playing a simple game.
愉快,yú kuài,vui vẻ,สนุกสนาน / มีความสุข,happy / pleasant,今天的活動很愉快，孩子們都不想回家。,"Hoạt động hôm nay rất vui, bọn trẻ đều không muốn về nhà.",กิจกรรมวันนี้สนุกมาก เด็ก ๆ ทุกคนไม่อยากกลับบ้าน,"Today’s activity was very pleasant, and the children did not want to go home."
大人,dà rén,người lớn,ผู้ใหญ่,adult,大人有時不明白小孩為什麼喜歡一直玩同一個遊戲。,Người lớn đôi khi không hiểu vì sao trẻ con thích chơi mãi cùng một trò chơi.,บางครั้งผู้ใหญ่ไม่เข้าใจว่าทำไมเด็กชอบเล่นเกมเดิมซ้ำ ๆ,Adults sometimes do not understand why children like to play the same game again and again.
認為,rèn wéi,cho rằng / nghĩ rằng,คิดว่า / เห็นว่า,to think / believe,媽媽認為遊戲也可以幫助小孩學習禮貌。,Mẹ cho rằng trò chơi cũng có thể giúp trẻ học lễ phép.,แม่คิดว่าเกมก็สามารถช่วยให้เด็กเรียนรู้มารยาทได้,Mom believes games can also help children learn manners.
還有,hái yǒu,còn có / ngoài ra,ยังมี / นอกจากนี้,also / in addition,小孩喜歡畫畫，還有很多孩子喜歡唱歌。,"Trẻ em thích vẽ tranh, ngoài ra còn có nhiều trẻ thích hát.",เด็กชอบวาดรูป และยังมีเด็กหลายคนชอบร้องเพลงด้วย,"Children like drawing, and many children also like singing."
總是,zǒng shì,luôn luôn,มักจะ / เสมอ,always,弟弟總是玩一會兒就換別的遊戲，媽媽覺得很累。,"Em trai luôn chơi một lát là đổi trò khác, mẹ cảm thấy rất mệt.",น้องชายมักเล่นสักพักก็เปลี่ยนเกมอื่น แม่รู้สึกเหนื่อยมาก,"The younger brother always changes games after playing for a short while, which makes Mom tired."
覺得,jué de,cảm thấy / nghĩ,รู้สึกว่า / คิดว่า,to feel / think,爸爸覺得陪小孩玩遊戲是一件不容易的事。,Bố cảm thấy chơi trò chơi với trẻ con là một việc không dễ.,พ่อรู้สึกว่าการเล่นเกมกับเด็กเป็นเรื่องที่ไม่ง่าย,Dad feels that playing games with children is not easy.
真是,zhēn shì,thật là,ช่าง...จริง ๆ,really / truly,每天不停地找新遊戲，真是一件麻煩的事。,Mỗi ngày liên tục tìm trò chơi mới thật là một việc phiền phức.,การหาเกมใหม่ไม่หยุดทุกวันช่างเป็นเรื่องยุ่งยากจริง ๆ,Looking for new games nonstop every day is really a troublesome thing.
重要,zhòng yào,quan trọng,สำคัญ,important,遊戲對小孩很重要，因為他們可以從遊戲中認識世界。,Trò chơi rất quan trọng với trẻ em vì các em có thể nhận biết thế giới qua trò chơi.,เกมสำคัญต่อเด็กมาก เพราะพวกเขาสามารถรู้จักโลกจากการเล่นเกม,Games are important for children because they can learn about the world through games.
