生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
年輕人,nián qīng rén,người trẻ,คนหนุ่มสาว,young person,剛剛那個年輕人在飯店裡吃了一碗牛肉麵，吃完以後就去上班了。,"Người trẻ lúc nãy ăn một tô mì bò trong nhà hàng, ăn xong rồi đi làm.",คนหนุ่มเมื่อกี้กินบะหมี่เนื้อหนึ่งชามในร้านอาหาร กินเสร็จแล้วก็ไปทำงาน,"The young person just now ate a bowl of beef noodles in the restaurant, and went to work after finishing it."
老人,lǎo rén,người già,ผู้สูงอายุ,old person,那位老人每天早上都到公園散步，下午在家裡聽收音機。,"Người già đó mỗi sáng đều đi dạo ở công viên, buổi chiều ở nhà nghe radio.",ผู้สูงอายุคนนั้นไปเดินเล่นที่สวนทุกเช้า ตอนบ่ายฟังวิทยุอยู่ที่บ้าน,That elderly person takes a walk in the park every morning and listens to the radio at home in the afternoon.
飯店,fàn diàn,nhà hàng / khách sạn,ร้านอาหาร / โรงแรม,restaurant / hotel,他們今天中午在飯店吃飯，服務員幫他們點了一份牛排和一碗湯。,"Trưa nay họ ăn cơm ở nhà hàng, nhân viên phục vụ giúp họ gọi một phần bít tết và một bát canh.",วันนี้ตอนเที่ยงพวกเขากินข้าวที่ร้านอาหาร พนักงานช่วยสั่งสเต๊กหนึ่งที่และซุปหนึ่งชาม,"They ate at a restaurant at noon today, and the server helped them order a steak and a bowl of soup."
食物,shí wù,thức ăn,อาหาร,food,這家飯店的食物很好吃，所以每天都有很多客人來排隊。,"Thức ăn của nhà hàng này rất ngon, vì vậy mỗi ngày đều có nhiều khách đến xếp hàng.",อาหารของร้านนี้อร่อยมาก ดังนั้นทุกวันจึงมีลูกค้าหลายคนมาต่อแถว,"The food at this restaurant is delicious, so many customers come to line up every day."
吃麵,chī miàn,ăn mì,กินบะหมี่,to eat noodles,下課以後，小明和朋友一起去學校附近的小店吃麵。,"Sau khi tan học, Tiểu Minh và bạn cùng đi đến quán nhỏ gần trường để ăn mì.",หลังเลิกเรียน เสี่ยวหมิงกับเพื่อนไปกินบะหมี่ที่ร้านเล็ก ๆ ใกล้โรงเรียนด้วยกัน,"After class, Xiaoming and his friend went to a small shop near school to eat noodles."
博物館,bó wù guǎn,bảo tàng,พิพิธภัณฑ์,museum,星期六早上，老師帶學生去博物館看中國畫和古代的東西。,"Sáng thứ Bảy, giáo viên dẫn học sinh đi bảo tàng xem tranh Trung Quốc và đồ cổ.",เช้าวันเสาร์ ครูพานักเรียนไปพิพิธภัณฑ์เพื่อดูภาพวาดจีนและของโบราณ,"On Saturday morning, the teacher took the students to the museum to see Chinese paintings and ancient objects."
遊樂園,yóu lè yuán,công viên giải trí,สวนสนุก,amusement park,放假的時候，弟弟想去遊樂園玩，但是媽媽想先去博物館。,"Vào kỳ nghỉ, em trai muốn đi công viên giải trí chơi, nhưng mẹ muốn đi bảo tàng trước.",ตอนวันหยุด น้องชายอยากไปเที่ยวสวนสนุก แต่แม่อยากไปพิพิธภัณฑ์ก่อน,"During the holiday, the younger brother wanted to go to the amusement park, but Mom wanted to go to the museum first."
動物園,dòng wù yuán,sở thú,สวนสัตว์,zoo,小美很喜歡動物，所以她星期天想跟家人一起去動物園。,"Tiểu Mỹ rất thích động vật, nên chủ nhật cô ấy muốn đi sở thú với gia đình.",เสี่ยวเหม่ยชอบสัตว์มาก ดังนั้นวันอาทิตย์เธออยากไปสวนสัตว์กับครอบครัว,"Xiaomei likes animals very much, so she wants to go to the zoo with her family on Sunday."
巧克力,qiǎo kè lì,sô-cô-la,ช็อกโกแลต,chocolate,服務員把巧克力蛋糕放在桌上，然後又拿了一個湯匙給客人。,"Nhân viên phục vụ đặt bánh sô-cô-la lên bàn, sau đó lại lấy một cái muỗng cho khách.",พนักงานวางเค้กช็อกโกแลตบนโต๊ะ แล้วหยิบช้อนให้ลูกค้าอีกหนึ่งคัน,The server put the chocolate cake on the table and then brought another spoon for the customer.
湯匙,tāng chí,muỗng / thìa,ช้อน,spoon,我們要一起吃蛋糕，所以請服務員再給我們一個湯匙。,"Chúng tôi muốn cùng ăn bánh, nên xin nhân viên phục vụ cho chúng tôi thêm một cái muỗng.",พวกเราจะกินเค้กด้วยกัน จึงขอให้พนักงานให้ช้อนเราเพิ่มอีกหนึ่งคัน,"We want to eat the cake together, so we asked the server to give us one more spoon."
叉子,chā zi,nĩa,ส้อม,fork,這塊蛋糕很小，你可以用叉子慢慢吃，不需要用筷子。,"Miếng bánh này rất nhỏ, bạn có thể dùng nĩa ăn từ từ, không cần dùng đũa.",เค้กชิ้นนี้เล็กมาก คุณใช้ส้อมกินช้า ๆ ได้ ไม่ต้องใช้ตะเกียบ,"This piece of cake is small, so you can eat it slowly with a fork and do not need chopsticks."
筷子,kuài zi,đũa,ตะเกียบ,chopsticks,吃麵的時候，爸爸喜歡用筷子，弟弟卻喜歡用湯匙。,"Khi ăn mì, bố thích dùng đũa, nhưng em trai lại thích dùng muỗng.",เวลากินบะหมี่ พ่อชอบใช้ตะเกียบ แต่น้องชายชอบใช้ช้อน,"When eating noodles, Dad likes to use chopsticks, but the younger brother likes to use a spoon."
盤子,pán zi,đĩa,จาน,plate,媽媽把水果切好以後，放在白色的盤子上給大家吃。,"Sau khi mẹ cắt trái cây xong, mẹ đặt lên cái đĩa màu trắng cho mọi người ăn.",หลังจากแม่หั่นผลไม้เสร็จ แม่วางบนจานสีขาวให้ทุกคนกิน,"After Mom cut the fruit, she put it on a white plate for everyone to eat."
碗子,wǎn zi,cái bát,ชาม,bowl,他吃完一碗子熱湯以後，覺得身體暖多了。,"Sau khi anh ấy ăn xong một bát canh nóng, anh ấy cảm thấy cơ thể ấm hơn nhiều.",หลังจากเขากินซุปร้อนหนึ่งชามเสร็จ เขารู้สึกว่าร่างกายอุ่นขึ้นมาก,"After he finished a bowl of hot soup, he felt much warmer."
