生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
特別,tè bié,đặc biệt,พิเศษ,special,小華覺得今天的活動很特別，所以想下次再參加。,"Tiểu Hoa cảm thấy hoạt động hôm nay rất đặc biệt, vì vậy muốn lần sau tham gia nữa.",เสี่ยวหัวรู้สึกว่ากิจกรรมวันนี้พิเศษมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaohua felt today’s activity was very special, so they wanted to join again next time."
魚,yú,cá,ปลา,fish,弟弟第一次近距離看到魚，覺得牠很可愛也有一點害怕。,"Sáng Chủ nhật, em trai nhìn thấy cá ở nông trại và nhờ bố chụp ảnh.",เช้าวันอาทิตย์ น้องชายเห็นปลาที่ฟาร์ม และขอให้พ่อช่วยถ่ายรูป,"On Sunday morning, the younger brother saw fish on the farm and asked Dad to take a photo."
從,cóng,từ,จาก,from,這種魚會從海裡飛到水上，很多遊客都覺得很特別。,"Loài cá này có thể bay từ trong biển lên mặt nước, nhiều du khách đều thấy rất đặc biệt.",ปลาชนิดนี้สามารถบินจากในทะเลขึ้นมาบนผิวน้ำ นักท่องเที่ยวหลายคนรู้สึกว่าพิเศษมาก,"This kind of fish can fly from the sea onto the surface of the water, and many tourists find it special."
海裡,hǎi lǐ,trong biển,ในทะเล,in the sea,朋友問起海裡的時候，小明想了一下才回答。,"Trong bữa tối, Tiểu Minh và gia đình nói về trong biển, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องในทะเล ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about in the sea, and everyone said it was important."
飛,fēi,bay,บิน,to fly,春天的早上，海邊的人看到魚飛出水面。,"Buổi sáng mùa xuân, người bên bờ biển nhìn thấy cá bay khỏi mặt nước.",เช้าฤดูใบไม้ผลิ ผู้คนริมทะเลเห็นปลาบินออกจากผิวน้ำ,"On a spring morning, people by the sea saw fish fly out of the water."
水上,shuǐ shàng,trên mặt nước,บนผิวน้ำ,on the water,昨天看新聞的時候，小華注意到水上，於是上網查了更多資料。,"Trong bữa tối, Tiểu Hoa và gia đình nói về trên mặt nước, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องบนผิวน้ำ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about on the water, and everyone said it was important."
往,wǎng,hướng về / đi về,ไปทาง / มุ่งไป,toward,下午風很大，船慢慢往海上開去。,"Chiều nay gió rất lớn, con thuyền từ từ đi về phía biển.",บ่ายนี้ลมแรงมาก เรือค่อย ๆ แล่นไปทางทะเล,"The wind was strong in the afternoon, and the boat slowly headed toward the sea."
來,lái,đến,มา,to come,每年春天，很多人會來這裡看特別的魚。,"Mỗi mùa xuân, nhiều người sẽ đến đây xem loài cá đặc biệt.",ทุกฤดูใบไม้ผลิ มีหลายคนมาที่นี่เพื่อดูปลาชนิดพิเศษ,"Every spring, many people come here to see the special fish."
男人,nán rén,đàn ông,ผู้ชาย,man,今天早上，男人們在學校門口集合，準備一起去參加活動。,"Sáng nay, các đàn ông tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้ชายรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the man gathered at the school gate and prepared to join the activity together."
女人,nǚ rén,phụ nữ,ผู้หญิง,woman,小美看到一位女人需要幫忙，就走過去問他怎麼了。,"Sáng nay, các phụ nữ tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้หญิงรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the woman gathered at the school gate and prepared to join the activity together."
老人,lǎo rén,người già,ผู้สูงอายุ / คนแก่,elderly person,這些老人正在教室裡討論明天的活動。,"Sáng nay, các người già tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้สูงอายุรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the elderly person gathered at the school gate and prepared to join the activity together."
班,bān,lớp / ca,ชั้นเรียน / กะ,class / shift,今天下午，三班學生要一起去博物館參觀。,"Chiều nay, học sinh lớp ba sẽ cùng nhau đi tham quan bảo tàng.",บ่ายวันนี้ นักเรียนชั้นสามจะไปเยี่ยมชมพิพิธภัณฑ์ด้วยกัน,"This afternoon, Class Three will visit the museum together."
位,wèi,vị; lượng từ lịch sự,ท่าน / ลักษณนามสุภาพ,polite measure word for people,有三位老人坐在樹下聊天，大家都很有禮貌地跟他們打招呼。,"Có ba vị người già ngồi dưới cây nói chuyện, mọi người đều lịch sự chào họ.",มีผู้สูงอายุสามท่านนั่งคุยกันใต้ต้นไม้ ทุกคนทักทายพวกเขาอย่างสุภาพ,"Three elderly people sat under the tree talking, and everyone greeted them politely."
