生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
圖片,tú piàn,hình ảnh,รูปภาพ,picture,老師把一張圖片放在黑板上，請學生說說他們看到了什麼。,Giáo viên đặt một bức tranh lên bảng và yêu cầu học sinh nói xem họ đã nhìn thấy gì.,ครูวางรูปภาพหนึ่งรูปไว้บนกระดาน แล้วให้นักเรียนพูดว่าพวกเขาเห็นอะไร,The teacher put a picture on the board and asked the students to say what they saw.
幾個,jǐ ge,mấy / bao nhiêu cái,กี่คน / กี่อัน,how many,考試以前，老師問教室裡有幾個學生還沒有拿到考卷。,"Trước khi thi, giáo viên hỏi trong lớp có mấy học sinh vẫn chưa nhận được đề thi.",ก่อนสอบ ครูถามว่าในห้องเรียนมีนักเรียนกี่คนที่ยังไม่ได้รับข้อสอบ,"Before the exam, the teacher asked how many students in the classroom had not received the test paper yet."
學生,xué shēng,học sinh / sinh viên,นักเรียน / นักศึกษา,student,這些學生每天早上八點到教室上課，下午一起在圖書館讀書。,"Những học sinh này mỗi sáng tám giờ đến lớp học, buổi chiều cùng nhau đọc sách ở thư viện.",นักเรียนเหล่านี้มาเรียนที่ห้องเรียนตอนแปดโมงเช้าทุกวัน และตอนบ่ายอ่านหนังสือด้วยกันที่ห้องสมุด,These students come to class at eight every morning and study together in the library in the afternoon.
籃球,lán qiú,bóng rổ,บาสเกตบอล,basketball,下課以後，小明和朋友到操場打籃球，玩到很晚才回家。,"Sau giờ học, Tiểu Minh và bạn bè ra sân chơi bóng rổ, chơi đến rất muộn mới về nhà.",หลังเลิกเรียน เสี่ยวหมิงกับเพื่อนไปเล่นบาสเกตบอลที่สนาม และเล่นจนดึกจึงกลับบ้าน,"After class, Xiaoming and his friends went to the playground to play basketball and did not go home until late."
網球,wǎng qiú,quần vợt,เทนนิส,tennis,姐姐週末常常和同學去公園打網球，所以她的身體很好。,"Cuối tuần chị thường đi công viên chơi quần vợt với bạn học, nên sức khỏe của chị rất tốt.",วันหยุดสุดสัปดาห์พี่สาวมักไปเล่นเทนนิสที่สวนสาธารณะกับเพื่อนร่วมชั้น ดังนั้นสุขภาพของเธอดีมาก,"My older sister often plays tennis with classmates in the park on weekends, so she is very healthy."
棒球,bàng qiú,bóng chày,เบสบอล,baseball,爸爸很喜歡棒球，晚上吃飯的時候也會看棒球比賽。,"Bố rất thích bóng chày, ngay cả khi ăn tối cũng xem trận bóng chày.",พ่อชอบเบสบอลมาก แม้ตอนกินข้าวเย็นก็ยังดูการแข่งขันเบสบอล,"Dad likes baseball very much, and he even watches baseball games while eating dinner."
足球,zú qiú,bóng đá,ฟุตบอล,soccer / football,弟弟放學後跟同學在學校旁邊踢足球，媽媽叫他六點以前回家。,"Sau khi tan học, em trai đá bóng với bạn học bên cạnh trường, mẹ bảo em ấy về nhà trước sáu giờ.",หลังเลิกเรียน น้องชายเล่นฟุตบอลกับเพื่อนร่วมชั้นข้างโรงเรียน แม่บอกให้เขากลับบ้านก่อนหกโมง,"After school, my younger brother plays soccer with classmates next to the school, and Mom tells him to go home before six."
打掃,dǎ sǎo,dọn dẹp,ทำความสะอาด,to clean,星期六早上，我和妹妹一起打掃客廳，因為晚上有客人要來。,"Sáng thứ Bảy, tôi và em gái cùng dọn dẹp phòng khách, vì buổi tối có khách đến.",เช้าวันเสาร์ ฉันกับน้องสาวช่วยกันทำความสะอาดห้องรับแขก เพราะตอนเย็นจะมีแขกมา,"On Saturday morning, my younger sister and I cleaned the living room together because guests were coming in the evening."
做菜,zuò cài,nấu ăn,ทำอาหาร,to cook,媽媽今天下班很晚，所以爸爸在廚房做菜給大家吃。,"Hôm nay mẹ tan làm rất muộn, nên bố nấu ăn trong bếp cho mọi người ăn.",วันนี้แม่เลิกงานช้ามาก ดังนั้นพ่อจึงทำอาหารในครัวให้ทุกคนกิน,"Mom got off work very late today, so Dad cooked in the kitchen for everyone."
洗衣服,xǐ yī fú,giặt quần áo,ซักผ้า,to wash clothes,下雨以前，奶奶把全家的衣服拿到陽台洗衣服。,"Trước khi trời mưa, bà mang quần áo của cả nhà ra ban công để giặt.",ก่อนฝนตก คุณยายเอาเสื้อผ้าของทั้งบ้านไปซักที่ระเบียง,"Before it rained, Grandma took the family’s clothes to the balcony to wash them."
