生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
危險,wēi xiǎn,nguy hiểm,อันตราย,dangerous,今天的情況很危險，所以大家都需要小心一點。,"Tình huống hôm nay rất nguy hiểm, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้อันตรายมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very dangerous, so everyone needs to be a little careful."
快一點,kuài yī diǎn,nhanh lên một chút,เร็วหน่อย,hurry up,時間快到了，媽媽請小明快一點出門。,"Sắp đến giờ rồi, mẹ bảo Tiểu Minh nhanh chóng ra khỏi nhà.",ใกล้ถึงเวลาแล้ว แม่ขอให้เสี่ยวหมิงรีบออกจากบ้าน,"It was almost time, so Mom asked Xiaoming to hurry and leave the house."
離開,lí kāi,rời khỏi,ออกจาก,to leave,大樓很危險，大家必須快點離開。,"Tòa nhà rất nguy hiểm, mọi người phải nhanh chóng rời khỏi.",อาคารอันตรายมาก ทุกคนต้องรีบออกไป,"The building is dangerous, so everyone must leave quickly."
沒注意,méi zhù yì,không chú ý,ไม่ได้สังเกต,did not notice,小華沒注意安全門的方向，所以不知道要往哪裡走。,"Tiểu Hoa không chú ý hướng của cửa thoát hiểm, nên không biết phải đi đâu.",เสี่ยวหัวไม่ได้สังเกตทิศทางของประตูหนีไฟ จึงไม่รู้ว่าต้องเดินไปทางไหน,"Xiaohua did not notice the direction of the emergency exit, so he did not know where to go."
安全門,ān quán mén,cửa thoát hiểm,ประตูหนีไฟ,emergency exit,小明把安全門放在桌上，準備等一下使用。,"Tiểu Minh đặt cửa thoát hiểm lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางประตูหนีไฟไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the emergency exit on the table and prepared to use it later.
方向,fāng xiàng,phương hướng,ทิศทาง,direction,小華沒注意安全門的方向，所以不知道往哪裡走。,"Tiểu Hoa không chú ý hướng của cửa thoát hiểm, nên không biết đi đâu.",เสี่ยวหัวไม่ได้สังเกตทิศทางของประตูหนีไฟ จึงไม่รู้ว่าต้องเดินไปทางไหน,"Xiaohua did not notice the direction of the emergency exit, so he did not know where to go."
往前走,wǎng qián zǒu,đi thẳng về phía trước,เดินตรงไปข้างหน้า,walk forward,你往前走到第二個路口，再左轉就會看到動物園。,"Bạn đi thẳng đến ngã tư thứ hai, rồi rẽ trái là sẽ thấy sở thú.",คุณเดินตรงไปถึงแยกที่สอง แล้วเลี้ยวซ้ายก็จะเห็นสวนสัตว์,"Walk forward to the second intersection, then turn left and you will see the zoo."
樓梯,lóu tī,cầu thang,บันได,stairs,小明把樓梯放在桌上，準備等一下使用。,"Tiểu Minh đặt cầu thang lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางบันไดไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the stairs on the table and prepared to use it later.
旁邊,páng biān,bên cạnh,ข้าง ๆ,beside / next to,週末，小美和朋友一起去旁邊，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến bên cạnh, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปข้าง ๆด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the beside / next to and took many photos there."
搭電梯,dā diàn tī,đi thang máy,ขึ้นลิฟต์,to take the elevator,大樓不安全的時候，大家不要搭電梯。,"Khi tòa nhà không an toàn, mọi người không nên đi thang máy.",เมื่ออาคารไม่ปลอดภัย ทุกคนไม่ควรขึ้นลิฟต์,"When a building is unsafe, people should not take the elevator."
找不到,zhǎo bú dào,không tìm thấy,หาไม่เจอ,cannot find,小明不清楚這件事，所以他問朋友「找不到」。,"Tiểu Minh không rõ chuyện này, nên cậu ấy hỏi bạn: “không tìm thấy”.",เสี่ยวหมิงไม่แน่ใจเรื่องนี้ จึงถามเพื่อนว่า “หาไม่เจอ”,"Xiaoming was not sure about this matter, so he asked his friend, “cannot find?”"
下樓,xià lóu,xuống lầu,ลงบันได / ลงชั้นล่าง,to go downstairs,安全門在樓梯旁邊，大家可以從那裡下樓。,"Cửa thoát hiểm ở bên cạnh cầu thang, mọi người có thể xuống lầu từ đó.",ประตูหนีไฟอยู่ข้างบันได ทุกคนสามารถลงชั้นล่างจากตรงนั้นได้,"The emergency exit is next to the stairs, and everyone can go downstairs from there."
路口,lù kǒu,ngã tư / giao lộ,สี่แยก / ทางแยก,intersection,週末，小美和朋友一起去路口，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến ngã tư / giao lộ, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสี่แยก / ทางแยกด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the intersection and took many photos there."
鄰居,lín jū,hàng xóm,เพื่อนบ้าน,neighbor,這位鄰居每天都要和很多人說話，工作非常忙。,"Người hàng xóm này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",เพื่อนบ้านคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This neighbor has to talk with many people every day and is very busy at work.
聊天,liáo tiān,trò chuyện,คุยเล่น,to chat,今天下午，小美要聊天，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải trò chuyện, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องคุยเล่น ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to chat, so she arranged her time first."
過了,guò le,đã qua,ผ่านไปแล้ว,has passed,媽媽和鄰居聊天，都過了半小時了。,"Mẹ và hàng xóm trò chuyện, đã qua nửa tiếng rồi.",แม่คุยกับเพื่อนบ้าน ผ่านไปครึ่งชั่วโมงแล้ว,"Mother and the neighbor were chatting, and half an hour had passed."
比較,bǐ jiào,so sánh / tương đối,เปรียบเทียบ / ค่อนข้าง,to compare / relatively,媽媽正在比較哪一間大學的學費比較便宜。,Mẹ đang so sánh trường đại học nào có học phí rẻ hơn.,แม่กำลังเปรียบเทียบว่ามหาวิทยาลัยไหนค่าเทอมถูกกว่า,Mother is comparing which university has cheaper tuition.
哪一間大學,nǎ yī jiān dà xué,trường đại học nào,มหาวิทยาลัยไหน,which university,媽媽想知道哪一間大學的學費比較便宜。,Mẹ muốn biết trường đại học nào có học phí rẻ hơn.,แม่อยากรู้ว่ามหาวิทยาลัยไหนมีค่าเทอมถูกกว่า,Mother wanted to know which university had cheaper tuition.
學費,xué fèi,học phí,ค่าเทอม,tuition,這間大學的學費不便宜，所以媽媽想先了解。,"Học phí của trường đại học này không rẻ, nên mẹ muốn tìm hiểu trước.",ค่าเทอมของมหาวิทยาลัยนี้ไม่ถูก ดังนั้นแม่อยากทำความเข้าใจก่อน,"This university’s tuition is not cheap, so mother wants to understand it first."
便宜,pián yi,rẻ,ถูก,cheap,今天的情況很便宜，所以大家都需要小心一點。,"Tình huống hôm nay rất rẻ, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ถูกมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very cheap, so everyone needs to be a little careful."
談,tán,nói chuyện / bàn,คุย / พูดคุย,to talk about,今天下午，小美要談，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải nói chuyện / bàn, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องคุย / พูดคุย ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to talk about, so she arranged her time first."
管理學院,guǎn lǐ xué yuàn,khoa quản lý,คณะบริหาร / วิทยาลัยการจัดการ,college of management,週末，小美和朋友一起去管理學院，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến khoa quản lý, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปคณะบริหาร / วิทยาลัยการจัดการด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the college of management and took many photos there."
先,xiān,trước tiên,ก่อน,first,媽媽想先了解學費，再決定要不要讓小美讀那間大學。,"Mẹ muốn tìm hiểu học phí trước, rồi mới quyết định có cho Tiểu Mỹ học trường đó không.",แม่อยากทำความเข้าใจค่าเทอมก่อน แล้วค่อยตัดสินใจว่าจะให้เสี่ยวเหม่ยเรียนมหาวิทยาลัยนั้นไหม,Mother wants to understand the tuition first and then decide whether Xiaomei should attend that university.
了解,liǎo jiě,hiểu,เข้าใจ,to understand,今天下午，小美要了解，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải hiểu, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเข้าใจ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to understand, so she arranged her time first."
參加,cān jiā,tham gia,เข้าร่วม,to participate,今天下午，小美要參加，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải tham gia, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเข้าร่วม ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to participate, so she arranged her time first."
大學考試,dà xué kǎo shì,kỳ thi đại học,การสอบเข้ามหาวิทยาลัย,university entrance exam,小明明年要參加大學考試，所以現在每天讀書。,"Năm sau Tiểu Minh phải tham gia kỳ thi đại học, nên bây giờ ngày nào cũng học.",ปีหน้าเสี่ยวหมิงต้องสอบเข้ามหาวิทยาลัย ดังนั้นตอนนี้เขาอ่านหนังสือทุกวัน,"Xiaoming will take the university entrance exam next year, so he studies every day now."
