生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
舞會,wǔ huì,buổi khiêu vũ / tiệc khiêu vũ,งานเต้นรำ,dance party / ball,小明的同學邀請他星期五晚上去參加舞會，但是他因為太累，所以沒有去。,"Bạn học của Tiểu Minh mời cậu ấy tối thứ Sáu đi tham gia buổi khiêu vũ, nhưng vì cậu ấy quá mệt nên đã không đi.",เพื่อนร่วมชั้นของเสี่ยวหมิงชวนเขาไปงานเต้นรำคืนวันศุกร์ แต่เพราะเขาเหนื่อยมาก จึงไม่ได้ไป,"Xiaoming’s classmate invited him to a dance party on Friday night, but he was too tired, so he did not go."
感冒,gǎn mào,cảm lạnh / bị cảm,เป็นหวัด,cold / to have a cold,小明上個星期感冒了，雖然現在已經好了，但是他還是想早一點休息。,"Tuần trước Tiểu Minh bị cảm, tuy bây giờ đã khỏi rồi, nhưng cậu ấy vẫn muốn nghỉ sớm một chút.",เสี่ยวหมิงเป็นหวัดเมื่อสัปดาห์ที่แล้ว แม้ว่าตอนนี้หายแล้ว แต่เขายังอยากพักผ่อนเร็วหน่อย,"Xiaoming had a cold last week. Although he has recovered now, he still wants to rest early."
加上,jiā shàng,thêm vào đó / cộng thêm,อีกทั้ง / รวมทั้ง,in addition / plus,他最近身體不太好，加上快要考試了，所以晚上不想出去玩。,"Gần đây sức khỏe của cậu ấy không tốt, thêm vào đó sắp thi rồi, nên buổi tối cậu ấy không muốn ra ngoài chơi.",ช่วงนี้ร่างกายของเขาไม่ค่อยดี อีกทั้งใกล้สอบแล้ว ดังนั้นตอนกลางคืนเขาไม่อยากออกไปเที่ยว,"He has not been feeling well recently, and exams are coming soon, so he does not want to go out at night."
得,děi,phải,ต้อง,have to / must,明天有中文考試，小明得在家讀書，不能跟朋友去看電影。,"Ngày mai có bài thi tiếng Trung, Tiểu Minh phải ở nhà học bài, không thể đi xem phim với bạn.",พรุ่งนี้มีสอบภาษาจีน เสี่ยวหมิงต้องอ่านหนังสือที่บ้าน ไปดูหนังกับเพื่อนไม่ได้,"There is a Chinese exam tomorrow, so Xiaoming has to study at home and cannot go to the movies with his friends."
咖啡廳,kā fēi tīng,quán cà phê,ร้านกาแฟ,café / coffee shop,小明每天早上都去咖啡廳上班，下午才回學校上課。,"Mỗi sáng Tiểu Minh đều đi làm ở quán cà phê, đến chiều mới quay lại trường học.",ทุกเช้าเสี่ยวหมิงไปทำงานที่ร้านกาแฟ แล้วตอนบ่ายจึงกลับไปเรียนที่โรงเรียน,Xiaoming goes to work at a café every morning and returns to school in the afternoon.
還要,hái yào,còn phải / vẫn phải,ยังต้อง / ยังจะ,still have to / also need to,小明白天要上班，晚上還要讀書，所以他覺得非常累。,"Ban ngày Tiểu Minh phải đi làm, buổi tối còn phải đọc sách, nên cậu ấy cảm thấy rất mệt.",ตอนกลางวันเสี่ยวหมิงต้องทำงาน ตอนกลางคืนยังต้องอ่านหนังสือ ดังนั้นเขารู้สึกเหนื่อยมาก,"Xiaoming has to work during the day and still has to study at night, so he feels very tired."
生病,shēng bìng,bị bệnh / ốm,ป่วย,to be sick / to fall ill,小明昨天生病了，老師請他回家休息，不要勉強來上課。,"Hôm qua Tiểu Minh bị bệnh, giáo viên bảo cậu ấy về nhà nghỉ ngơi, đừng cố đến lớp.",เมื่อวานเสี่ยวหมิงป่วย ครูให้เขากลับบ้านพักผ่อน ไม่ต้องฝืนมาเรียน,"Xiaoming was sick yesterday, so the teacher told him to go home and rest instead of forcing himself to come to class."
工作,gōng zuò,làm việc / công việc,ทำงาน / งาน,to work / work,小明早上在咖啡廳工作，晚上回家以後還要準備考試。,"Tiểu Minh buổi sáng làm việc ở quán cà phê, sau khi về nhà vào buổi tối còn phải chuẩn bị cho kỳ thi.",เสี่ยวหมิงทำงานที่ร้านกาแฟตอนเช้า หลังกลับบ้านตอนกลางคืนยังต้องเตรียมสอบ,Xiaoming works at a café in the morning and still has to prepare for exams after he gets home at night.
看書,kàn shū,đọc sách,อ่านหนังสือ,to read books,小明不想去舞會，因為他晚上要在家看書，準備明天的考試。,"Tiểu Minh không muốn đi dự buổi khiêu vũ, vì buổi tối cậu ấy phải ở nhà đọc sách để chuẩn bị cho bài thi ngày mai.",เสี่ยวหมิงไม่อยากไปงานเต้นรำ เพราะตอนกลางคืนเขาต้องอ่านหนังสือที่บ้านเพื่อเตรียมสอบพรุ่งนี้,Xiaoming does not want to go to the dance party because he has to read books at home to prepare for tomorrow’s exam.
認真,rèn zhēn,nghiêm túc / chăm chỉ,ตั้งใจ / จริงจัง,serious / hardworking,小王上課的時候很認真，所以老師常常請他回答問題。,"Khi lên lớp Tiểu Vương rất chăm chỉ, nên giáo viên thường mời cậu ấy trả lời câu hỏi.",เวลาเรียนเสี่ยวหวังตั้งใจมาก ดังนั้นครูจึงมักให้เขาตอบคำถาม,"Xiaowang is very serious in class, so the teacher often asks him to answer questions."
但是,dàn shì,nhưng,แต่,but / however,小王平常功課很好，但是他這次因為生病少上了好幾天課。,"Bình thường việc học của Tiểu Vương rất tốt, nhưng lần này vì bị bệnh nên cậu ấy đã nghỉ học mấy ngày.",ปกติเสี่ยวหวังเรียนดี แต่ครั้งนี้เพราะป่วยจึงขาดเรียนไปหลายวัน,"Xiaowang usually does well in school, but this time he missed several days of class because he was sick."
好幾天,hǎo jǐ tiān,mấy ngày / nhiều ngày,หลายวัน,several days,小王請假好幾天以後，回到學校才發現有很多語法還沒學會。,"Sau khi Tiểu Vương nghỉ học mấy ngày, khi trở lại trường cậu ấy mới phát hiện còn rất nhiều ngữ pháp chưa học được.",หลังจากเสี่ยวหวังลาหยุดหลายวัน เมื่อกลับมาโรงเรียนจึงพบว่ายังมีไวยากรณ์อีกมากที่ยังไม่ได้เรียน,"After taking several days off, Xiaowang returned to school and found that there were many grammar points he had not learned yet."
請了好幾天的假,qǐng le hǎo jǐ tiān de jià,đã xin nghỉ mấy ngày,ลาหยุดไปหลายวัน,took several days off,小王因為發燒，請了好幾天的假，所以他很擔心明天的考試。,"Tiểu Vương vì bị sốt nên đã xin nghỉ mấy ngày, vì vậy cậu ấy rất lo lắng cho bài thi ngày mai.",เสี่ยวหวังเป็นไข้จึงลาหยุดไปหลายวัน ดังนั้นเขากังวลมากเกี่ยวกับการสอบพรุ่งนี้,"Because Xiaowang had a fever, he took several days off, so he is very worried about tomorrow’s exam."
