中文,拼音,越南語,泰語(音標),緬甸語(音標),英語,法語
計程車,jìchéngchē,Xe taxi,"แท็กซี่ (tɛ́k-sîi)","တက္ကစီ (te’ kǎ si)",Taxi,Taxi
位於,wèiyú,Nằm ở / Tọa lạc,"ตั้งอยู่ที่ (tâng-yùu-thîi)","တည်ရှိသည် (tì-shì-thi)",To be located at,Situé à
馬路,mǎlù,Đường lộ,ถนน (thà-nǒn),လမ်း (làn),Road / Street,Route
旁（邊）,páng (biān),Bên cạnh,ข้างๆ (khâang-khâang),ဘေး (bé),Beside / Side,À côté de
層樓,cénglóu,Tầng / Lầu,ชั้น (chán),အထပ် (ǎ hta’),Storey / Floor,Étage
住宅,zhùzhái,Nơi cư trú,"ที่อยู่อาศัย (thîi-yùu-aa-sǎi)",နေအိမ် (nay-ein),Residence / Dwelling,Résidence
修理,xiūlǐ,Sửa chữa,ซ่อมแซม (sôm-sɛɛm),ပြုပြင်သည် (pyu-pyin-thi),To repair / To fix,Réparer
鐘錶,zhōngbiǎo,Đồng hồ,นาฬิกา (naa-lí-kaa),နာရီ (naryi),Clocks and watches,Horlogerie
客廳,kètīng,Phòng khách,ห้องรับแขก (hông-ráp-khɛ̀ɛk),ဧည့်ခန်း (è-gàn),Living room,Salon
廚房,chúfáng,Nhà bếp,ห้องครัว (hông-khrua),မီးဖိုချောင် (mi-bo-gyaun),Kitchen,Cuisine
外觀,wàiguān,Ngoại quan,"รูปลักษณ์ภายนอก (rûup-lák-phaai-nôok)","အပြင်ပန်းသဏ္ဌာန် (ǎpyin-ban-than-htan)",Appearance / Exterior,"Apparence / Extérieur"
樸素,púsù,Giản dị,เรียบง่าย (rîap-ngâai),ရိုးရိုးရှင်းရှင်း (yo-yo-shin-shin),Simple / Plain,"Sobre / Simple"
白漆,báiqī,Sơn trắng,สีขาว (sǐi-khǎao),အဖြူရောင်ဆေး (ǎhpyu-yaung-say),White paint,Peinture blanche
一群人,yīqún rén,Một nhóm người,กลุ่มคน (klùm-khon),လူတစ်စု (lu-tǎ-su),A group of people,Un groupe de personnes
迎接,yíngjiē,Đón tiếp,ต้อนรับ (tôon-ráp),ကြိုဆိုသည် (kyo-so-thi),To welcome / To greet,Accueillir
曾經,céngjīng,Đã từng,เคย (khəəi),ဖူးသည် (phu-thi),Once / Previously,"Autrefois / Déjà"
寄照片,jì zhàopiàn,Gửi ảnh,ส่งรูปถ่าย (sòng-rûup-thàai),ဓာတ်ပုံပို့သည် (da’ pon po thi),To mail photos,Envoyer des photos
認得,rèndé,Nhận ra,จำได้ (cham-dâai),မှတ်မိသည် (hma’ mi thi),To recognize,Reconnaître
阿嬤,āmā,Bà nội / Bà ngoại,"ย่า (yâa) / ยาย (yaai)",အဘွား (ǎ-pwa),Grandmother,Grand-mère
