生詞,拼音,越南語翻譯,泰文翻譯（含音標）,法文（含音標）,法文例句
眼鏡仔,yǎnjìng-zǎi,Cậu kính cận / Người đeo kính,เด็กแว่น (dèk-wâen),Le bigleux [bi.ɡlø],Le bigleux lit un livre. (那個眼鏡仔正在看書。)
二手,èrshǒu,Đồ cũ / Hàng dùng rồi,มือสอง (mue-sǒng),D'occasion [dɔ.ka.zjɔ̃],C'est un livre d'occasion. (這是一本二手書。)
身材,shēncái,Vóc dáng / Thân hình,รูปร่าง (rûp-râng),La silhouette [si.lwɛt],Elle a une belle silhouette. (她的身材很好。)
木瓜樹,mùguā shù,Cây đu đủ,ต้นมะละกอ (tôn-má-lá-kɔɔ),Le papayer [pa.pa.je],Le papayer est très haut. (木瓜樹很高。)
瘦,shòu,Gầy,ผอม (pǎam),Mince [mɛ̃s],Il est très mince. (他很瘦。)
高,gāo,Cao,สูง (sǔung),Grand [ɡʁɑ̃],Mon frère est très grand. (我的哥哥很高。)
亂糟糟,luànzāozāo,Rối bời / Lộn xộn,ยุ่งเหยิง (yûng-yěng),Désordonné [de.zɔʁ.dɔ.ne],Ses cheveux sont désordonnés. (他的頭髮亂糟糟的。)
睡醒,shuìxǐng,Tỉnh giấc,ตื่นนอน (tùen-nɔɔn),Se réveiller [sə ʁe.vɛ.je],Je me réveille à sept heures. (我七點睡醒。)
戴,dài,Đeo / Mặc (phụ kiện),สวม / ใส่ (sǔam / sài),Porter [pɔʁ.te],Il porte des lunettes. (他戴著眼鏡。)
副,fù,Chiếc / Cặp (lượng từ),คู่ / อัน (khûu / an),Paire [pɛʁ],J'ai une paire de lunettes. (我有一副眼鏡。)
框,kuàng,Khung,กรอบ (grɔ̀ɔp),La monture [mɔ̃.tyʁ],La monture est noire. (鏡框是黑色的。)
皮鞋,píxié,Giày da,รองเท้าหนัง (rɔɔng-tháo-nǎng),Les chaussures en cuir [ʃo.syʁ ɑ̃ kɥiʁ],Il porte des chaussures en cuir. (他穿著皮鞋。)
店舖,diànpù,Cửa hàng / Tiệm,ร้านค้า (ráan-kháa),La boutique [bu.tik],C'est une petite boutique. (這是一家小店舖。)
同學,tóngxué,Bạn học,เพื่อนร่วมชั้น (pûean-rûam-chán),Le camarade de classe [ka.ma.ʁad də klas],C'est mon camarade de classe. (他是我的同學。)
認識,rènshì,Quen biết,รู้จัก (rúu-jàk),Connaître [kɔ.nɛtʁ],Je connais ce garçon. (我認識這個男孩。)
矮,ǎi,Thấp / Lùn,เตี้ย (tîa),Petit [pə.ti],Il est un peu petit. (他有點矮。)
圓,yuán,Tròn,กลม (glom),Rond [ʁɔ̃],Le ballon est rond. (球是圓的。)
理（頭髮）,lǐ (tóufǎ),Cắt (tóc),ตัดผม (dtàt-pǒm),Couper (les cheveux) [ku.pe],Je vais me couper les cheveux. (我要去理頭髮。)
平頭,píngtóu,Đầu đinh / Tóc húi cua,ผมทรงสกินเฮด (pǒm-song-sà-gin-hèet),La coupe en brosse [kup ɑ̃ bʁɔs],Il a une coupe en brosse. (他理平頭。)
眼,yǎn,Mắt,ตา (dtaa),L'œil [lœj],Il a un œil bleu. (他有一隻藍色的眼睛。)
眯眯,mīmī,Ti hí / Lim dim,หยี (yǐi),Plisser [pli.se],Il plisse les yeux. (他瞇著眼。)
像,xiàng,Giống như,เหมือน (mǔean),Ressembler à [ʁə.sɑ̃.ble a],Il ressemble à son père. (他長得像他爸爸。)
彈跳,tántiào,Nảy lên / Bật nhảy,กระเด้ง (grà-dêng),Bondir [bɔ̃.diʁ],Le chat bondit sur la table. (貓彈跳到桌上。)
介紹,jièshào,Giới thiệu,แนะนำ (náe-nam),Présenter [pʁe.zɑ̃.te],Je vous présente mon ami. (我向您介紹我的朋友。)
怪,guài,Quái lạ / Kỳ quặc,แปลก (plàek),Bizarre [bi.zaʁ],C'est une histoire bizarre. (這是一個奇怪的故事。)
故意,gùyì,Cố ý,ตั้งใจ / เจตนา (dtâng-jai),Exprès [ɛk.spʁɛ],Il l'a fait exprès. (他是故意的。)
然後,ránhòu,Sau đó,แล้วก็ (láew-gɔ̂),Ensuite [ɑ̃.sɥit],On mange, ensuite on sort. (我們吃飯，然後出去。)
成,chéng,Thành / Trở nên,กลายเป็น (glaay-pen),Devenir [də.vniʁ],Il est devenu professeur. (他成了老師。)
一團,yì tuán,Một nhóm / Một khối,กลุ่มหนึ่ง (glùm-nùeng),Un groupe / Une boule [ɡʁup / bul],Ils rient en groupe. (他們笑成一團。)
真心,zhēnxīn,Chân thành,จริงใจ (jing-jai),Sincère [sɛ̃.sɛʁ],Il est très sincère. (他是真心的。)
正確,zhèngquè,Chính xác,ถูกต้อง (thùuk-tâawng),Correct [kɔ.ʁɛkt],Votre réponse est correcte. (您的回答是正確的。)
發音,fāyīn,Phát âm,การออกเสียง (gaan-àawk-sǐang),La prononciation [pʁɔ.nɔ̃.sja.sjɔ̃],Sa prononciation est bonne. (他的發音很好。)
