中文,漢語拼音,越南語,泰語 (Thai),英文,例句,例句英文,例句越南語,例句泰語
煮,zhǔ,luộc / nấu,ต้ม,to boil / to cook,用一個鍋子煮熱水。,Use a pot to boil hot water.,Dùng một cái nồi để đun nước nóng.,ใช้หม้อต้มน้ำร้อน
烤,kǎo,nướng / đút lò,ย่าง / อบ,to grill / to bake / to roast,這個方法教你怎麼烤青菜。,This method teaches you how to grill vegetables.,Cách này dạy bạn cách nướng rau xanh.,วิธีนี้สอนคุณว่าย่างผักอย่างไร
鹽,yán,muối,เกลือ,salt,在熱水裡放一點油和鹽。,Put a little oil and salt into the hot water.,Cho một chút dầu và muối vào nước nóng.,ใส่น้ำมันกับเกลือนิดหน่อยลงในน้ำร้อน
用不了,yòng bù liǎo,không cần dùng nhiều / không mất nhiều,ใช้ไม่ถึง / ใช้เวลาไม่นาน / ไม่ต้องใช้มาก,not need much / not take much,做這道菜用不了多少時間。,Making this dish does not take much time.,Làm món này không mất nhiều thời gian.,ทำอาหารจานนี้ใช้เวลาไม่นาน
誰都可以,shéi dōu kě yǐ,ai cũng có thể,ใคร ๆ ก็ได้ / ใครก็สามารถ,anyone can / everybody can,誰都可以進去這間圖書館。,Anyone can enter this library.,Ai cũng có thể vào thư viện này.,ใคร ๆ ก็สามารถเข้าไปในห้องสมุดนี้ได้
休息,xiū xi,nghỉ ngơi / nghỉ,พัก,to rest / to take a break,圖書館中午休息一個小時。,The library has a one-hour lunch break at noon.,Thư viện nghỉ trưa một tiếng.,ห้องสมุดพักกลางวันหนึ่งชั่วโมง
只,zhǐ,chỉ,แค่ / เพียง / เท่านั้น,only / just,只有元平大學的學生可以用圖書館。,Only students of Yuanping University can use the library.,Chỉ sinh viên Đại học Nguyên Bình mới có thể sử dụng thư viện.,มีเพียงนักศึกษาของมหาวิทยาลัยหยวนผิงเท่านั้นที่สามารถใช้ห้องสมุดได้
一塊兒,yí kuàir,cùng nhau,ด้วยกัน,together,我想找女學生和我一塊兒住。,I want to find a female student to live together with me.,Tôi muốn tìm một nữ sinh sống cùng tôi.,ฉันอยากหานักศึกษาผู้หญิงมาอยู่ด้วยกันกับฉัน
市場,shì chǎng,chợ,ตลาด,market,我家樓下是市場。,Downstairs from my home is a market.,Dưới nhà tôi là chợ.,ชั้นล่างของบ้านฉันเป็นตลาด
好幾間學校,hǎo jǐ jiān xué xiào,mấy trường học / nhiều trường học,โรงเรียนหลายแห่ง,several schools,附近有好幾間學校。,There are several schools nearby.,Gần đó có mấy trường học.,บริเวณใกล้ ๆ มีโรงเรียนหลายแห่ง
