生詞,拼音,越南語翻譯,泰文翻譯（含音標）,法文翻譯（含音標）
總部,zǒng bù,trụ sở chính,"สำนักงานใหญ่ (sǎm-nák-ngaan-yài)","quartier général /kaʁ.tje ʒe.ne.ʁal/"
提議,tí yì,đề nghị,"เสนอ (sà-nə̌ə)","proposer /pʁɔ.po.ze/"
成立,chéng lì,thành lập,"ก่อตั้ง (gɔ̀ɔ-dtâng)","établir /e.ta.bliʁ/"
討論,tǎo lùn,thảo luận,"อภิปราย (à-pí-bpraai)","discuter /dis.ky.te/"
未來,wèi lái,tương lai,"อนาคต (à-naa-kót)","futur /fy.tyʁ/"
半秒鐘,bàn miǎo zhōng,nửa giây,"ครึ่งวินาที (krêu-wí-naa-tii)","une demi-seconde /yn də.mi s(ə).ɡɔ̃d/"
考慮,kǎo lǜ,cân nhắc,"พิจารณา (pí-jà-rá-naa)","considérer /kɔ̃.si.de.ʁe/"
答應,dā yìng,đồng ý,"ตกลง (dtòk-long)","accepter /ak.sɛp.te/"
聚會,jù huì,tụ họp,"การรวมกลุ่ม (gaan-ruam-glùm)","rassemblement /ʁa.sɑ̃.blə.mɑ̃/"
關於,guān yú,về,"เกี่ยวกับ (gìao-gàp)","à propos de /a pʁɔ.po də/"
地球上,dì qiú shàng,trên Trái Đất,"บนโลก (bon-lôok)","sur Terre /syʁ tɛʁ/"
慶祝,qìng zhù,chúc mừng,"ฉลอง (chà-lɔ̌ɔng)","célébrer /se.le.bʁe/"
成立大會,chéng lì dà huì,đại hội thành lập,"ประชุมก่อตั้ง (bprà-chum-gɔ̀ɔ-dtâng)","assemblée constitutive /a.sɑ̃.ble kɔ̃s.ti.ty.tiv/"
過年紅包,guò nián hóng bāo,bao lì xì tết,"ซองแดงตรุษจีน (sɔɔng-dɛɛng-dtrùt-jiin)","enveloppe rouge du Nouvel An /ɑ̃.və.lɔp ʁuʒ dy nu.vɛl ɑ̃/"
捐,juān,quyên góp,"บริจาค (bɔɔ-rí-jàak)","faire un don /fɛʁ œ̃ dɔ̃/"
可樂,kě lè,coca cola,"โคล่า (koo-lâa)","cola /kɔ.la/"
餅乾,bǐng gān,bánh quy,"คุกกี้ (kúk-gîi)","biscuit /bis.kɥi/"
零食,líng shí,đồ ăn vặt,"ของว่าง (kɔ̌ɔng-wâang)","snacks /snak/"
宣布,xuān bù,tuyên bố,"ประกาศ (bprà-gàat)","annoncer /a.nɔ̃.se/"
討論議題,tǎo lùn yì tí,chủ đề thảo luận,"หัวข้อการสนทนา (hǔa-kɔ̂ɔ-gaan-sǒn-thá-naa)","sujet de discussion /sy.ʒɛ də dis.ky.sjɔ̃/"
如何,rú hé,thế nào,"อย่างไร (yàang-rai)","comment /kɔ.mɑ̃/"
和平相處,hé píng xiāng chǔ,sống chung hòa bình,"อยู่ร่วมกันอย่างสันติ (yùu-rûam-gan-yàang-sǎn-dtì)","vivre en paix /vivʁ ɑ̃ pɛ/"
上帝,shàng dì,Thượng đế,"พระเจ้า (phrá-jâao)","Dieu /djø/"
慫恿,sǒng yǒng,xúi giục,"ยุยง (yu-yong)","inciter /ɛ̃.si.te/"
外星人,wài xīng rén,người ngoài hành tinh,"มนุษย์ต่างดาว (má-nút-dtàang-daao)","extraterrestre /ɛk.stʁa.te.ʁɛstʁ/"
入侵,rù qīn,xâm chiếm,"บุกรุก (bùk-rúk)","envahir /ɑ̃.va.iʁ/"
擊退,jí tuì,đánh lui,"ขับไล่ (khàp-lâi)","repousser /ʁə.pu.se/"
團結起來,tuán jié qǐ lái,đoàn kết lại,"รวมตัวกัน (ruam-dtua-gan)","s'unir /sy.niʁ/"
世界,shì jiè,thế giới,"โลก (lôok)","monde /mɔ̃d/"
