漢字,拼音,越南語翻譯,泰語翻譯,泰語發音
銀行,yínháng,ngân hàng,ธนาคาร,ta-naa-kaan
教室,jiàoshì,lớp học,ห้องเรียน,hông-riian
郵局,yóujú,bưu điện,ที่ทำการไปรษณีย์,thîi-tam-gaan-bprai-sà-nii
窗戶,chuānghù,cửa sổ,หน้าต่าง,nâa-dtàang
破,pò,rách / hỏng,ขาด / เสีย,kàat / sǐia
不見,bùjiàn,biến mất / không thấy,หาย / ไม่เห็น,hǎai / mâi hěn
書桌,shūzhuō,bàn học,โต๊ะเขียนหนังสือ,dtó khǐian nǎng-sǔue
籃球,lánqiú,bóng rổ,บาสเกตบอล,bàat-gèt-bɔɔn
網球,wǎngqiú,quần vợt,เทนนิส,ten-nít
棒球,bàngqiú,bóng chày,เบสบอล,béet-bɔɔn
哭,kū,khóc,ร้องไห้,rɔ́ɔng-hâi
笑,xiào,cười,หัวเราะ / ยิ้ม,hǔua-rɔ́ / yím
花,huā,hoa,ดอกไม้,dɔ̀ɔk-mái
窗,chuāng,cửa sổ,หน้าต่าง,nâa-dtàang
畫,huà,vẽ / bức tranh,วาด / รูปภาพ,wâat / rûup-pâap
辦公室,bàngōngshì,văn phòng,สำนักงาน,sǎm-nák-ngaan
洗衣服,xǐ yīfú,giặt quần áo,ซักผ้า,sák-pâa
煮飯,zhǔfàn,nấu cơm,ทำอาหาร / หุงข้าว,tam-aa-hǎan / hǔng-kâao
晴天,qíngtiān,trời nắng,วันที่แดดจ้า / ท้องฟ้าแจ่มใส,wan-thîi dàaet-jâa / tɔ́ɔng-fáa jàaem-sǎi
電影,diànyǐng,phim điện ảnh,หนัง / ภาพยนตร์,nǎng / pâap-pá-yon
報紙,bàozhǐ,báo chí,หนังสือพิมพ์,nǎng-sǔue-pim
唱歌,chànggē,hát,ร้องเพลง,rɔ́ɔng-pleeng
開車,kāichē,lái xe,ขับรถ,kàp-rót
騎腳踏車,qí jiǎotàchē,đạp xe đạp,ขี่จักรยาน,kìi jàk-grà-yaan
鞋子,xiézi,giày,รองเท้า,rɔɔng-táo
襪子,wàzi,tất / vớ,ถุงเท้า,tǔng-táo
紙,zhǐ,giấy,กระดาษ,grà-dàat
電話,diànhuà,điện thoại,โทรศัพท์,too-rá-sàp
電視,diànshì,tivi,ทีวี / โทรทัศน์,tii-wii / too-rá-tát
電腦,diànnǎo,máy tính,คอมพิวเตอร์,kɔɔm-piu-dtə̂ə
