radical,pinyin,vietnamese_meaning,sino_vietnamese,thai_meaning_pronunciation,burmese_meaning_pronunciation,french_meaning_pronunciation,english,examples
辰,chén,Giờ/Rồng,Thần,เวลา (Way-laa),အချိန် (A-chain),Temps (Tã),Morning/Time,"辱, 農, 蜃"
辵,chuò,Chạy/Đi,Sách,เดิน (Deen),လမ်းလျှောက် (Lan-shauk),Marcher (Marshè),Walk,"边, 这, 进"
邑,yì,Thành phố,Ấp,เมือง (Muueang),မြို့ (Myo),Ville (Vil),City,"那, 邦, 郎"
酉,yǒu,Rượu,Dậu,เหล้า (Lâo),ဝိုင် (Wine),Alcool (Alkol),Wine/Alcohol,"酌, 配, 酒"
采,cǎi,Hái/Lượm,Thải,เก็บเกี่ยว (Kèp-kìao),ခူးဆွတ် (Khu-sut),Cueillir (Kœjir),Gather,"釋, 釉, 釋"
里,lǐ,Dặm/Làng,Lý,หมู่บ้าน (Mùu-bâan),ရွာ (Ywar),Village (Vilazh),Village/Mile,"野, 量, 厘"
金,jīn,Vàng,Kim,ทอง (Thong),ရွှေ (Shway),Or (Ɔr),Gold,"银, 铜, 钉"
長,cháng,Dài,Trường,ยาว (Yaaw),ရှည်သော (Shay-thaw),Long (Lõ),Long,"镸, 髟"
門,mén,Cửa,Môn,ประตู (Pra-tuu),တံခါး (Ta-gar),Porte (Pɔrt),Gate/Door,"闭, 问, 闲"
阜,fù,Gò đất,Phụ,เนินเขา (Noon-khǎo),ကုန်း (Kone),Monticule (Mõtikyl),Mound/Dam,"阿, 阻, 附"
隶,lì,Nô lệ,Lệ,ข้ารับใช้ (Khâa-ráp-chái),ကျွန် (Kyune),Esclave (Esklav),Slave,"隶, 肄, 肅"
隹,zhuī,Chim đuôi ngắn,Chuy,นก (Nók),ငှက် (Hnget),Oiseau (Wazo),Short-tailed bird,"雅, 难, 雁"
雨,yǔ,Mưa,Vũ,ฝน (Fǒn),မိုး (Moe),Pluie (Plɥi),Rain,"雪, 零, 雷"
靑,qīng,Xanh,Thanh,สีเขียว (Sǐi-khǐao),အပြာရောင် (A-pyar-yaung),Bleu/Vert (Blø/Vɛr),Blue/Green,"靖, 靛, 靜"
非,fēi,Sai/Không,Phi,ไม่ใช่ (Mâi-châi),မဟုတ်သော (Ma-hoke-thaw),Non (Nõ),Wrong/Non,"靠, 靡, 辈"
面,miàn,Mặt,Diện,หน้า (Nâa),မျက်နှာ (Myet-hnar),Visage (Vizazh),Face,"靥, 腼, 靥"
革,gé,Da thú,Cách,หนัง (Nǎng),သားရေ (Thar-yay),Cuir (Kɥir),Leather,"鞋, 鞭, 靶"
韋,wéi,Da mềm,Vi,หนังนุ่ม (Nǎng-nûm),သားရေနု (Thar-yay-nu),Cuir souple (Kɥir supl),Soft leather,"韧, 韩, 韬"
韭,jiǔ,Hẹ,Cửu,กุ้ยช่าย (Kûy-châai),ကုလားပဲ (Ka-lar-pè),Poireau (Pwaro),Leek,"韮, 韱"
音,yīn,Âm thanh,Âm,เสียง (Sǐiang),အသံ (A-than),Son (Sõ),Sound,"韵, 韶, 响"
頁,yè,Trang giấy,Hiệt,หน้ากระดาษ (Nâa-kra-dàat),စာမျက်နှာ (Sar-myet-hnar),Page (Pazh),Leaf/Page,"顶, 顺, 顾"
風,fēng,Gió,Phong,ลม (Lom),လေ (Lay),Vent (Vã),Wind,"飒, 飘, 飙"
飛,fēi,Bay,Phi,บิน (Bin),ပျံ (Pyan),Voler (Volè),Fly,"飛, 飜, 飝"
食,shí,Ăn,Thực,กิน (Kin),စား (Sar),Manger (Mãzhè),Eat/Food,"饭, 饮, 饺"
首,shǒu,Đầu,Thủ,หัว (Hǔua),ဦးခေါင်း (U-gaung),Tête (Tɛt),Head,"馗, 馘"
香,xiāng,Thơm,Hương,หอม (Hǎawm),မွှေးသော (Hmway-thaw),Parfum (Parfɛ̃),Fragrant,"馨, 馥, 馝"
馬,mǎ,Ngựa,Mã,ม้า (Máa),မြင်း (Myin),Cheval (Sheval),Horse,"驭, 驮, 驯"
骨,gǔ,Xương,Cốt,กระดูก (Kra-dùuk),အရိုး (A-yo),Os (Os),Bone,"骰, 骸, 骼"
高,gāo,Cao,Cao,สูง (Sǔung),မြင့်သော (Myint-thaw),Haut (O),High,"敲, 髚, 髛"
髟,biāo,Tóc dài,Bưu,ผมยาว (Phǒm-yaaw),ဆံပင် (Sane-pin),Cheveux (Shevø),Hair,"发, 髻, 髭"
鬥,dòu,Chiến đấu,Đấu,ต่อสู้ (Tàaw-sûu),တိုက်ခိုက် (Taik-khaik),Lutte (Lyt),Fight,"闹, 阄, 阋"
鬯,chàng,Rượu tế,Sưởng,เหล้าบูชา (Lâo-buu-chaa),ယဇ်ဝိုင် (Yit-wine),Vin sacrificiel (Vɛ̃ sakrifisjɛl),Sacrificial wine,"鬰, 鬯"
鬲,lì,Nồi ba chân,Cách,หม้อสามขา (Mâw-sǎam-khǎa),အိုး (Oh),Chaudron (Shodrõ),Tripod/Cauldron,"融, 粥, 鬳"
鬼,guǐ,Ma quỷ,Quỷ,ผี (Phǐi),သရဲ (Tha-ye),Fantôme (Fãtom),Ghost,"魂, 魄, 魅"
魚,yú,Cá,Ngư,ปลา (Plaa),ငါး (Ngar),Poisson (Pwasõ),Fish,"鱿, 鲁, 鲜"
鳥,niǎo,Chim,Điểu,นก (Nók),ငှက် (Hnget),Oiseau (Wazo),Bird,"鸠, 鸡, 鸭"
鹵,lǔ,Muối/Đất mặn,Lỗ,เกลือ (Klʉua),ဆား (Sar),Sel (Sɛl),Salt,"盐, 碱, 鹾"
鹿,lù,Con hươu,Lộc,กวาง (Kwaang),သမင် (Tha-min),Cerf (Sɛr),Deer,"麒, 麟, 麝"
麥,mài,Lúa mạch,Mạch,ข้าวสาลี (Khâao-sǎa-lii),ဂျုံ (Gyone),Blé (Blè),Wheat,"面, 麸, 麴"
麻,má,Cây gai,Ma,ป่าน (Pàan),ပိုက်ဆံလျှော် (Paik-sane-shaw),Chanvre (Shãvr),Hemp,"磨, 靡, 麾"
黃,huáng,Màu vàng,Hoàng,สีเหลือง (Sǐi-lʉ̌uang),အဝါရောင် (A-war-yaung),Jaune (Zhon),Yellow,"黉, 黍, 黎"
黍,shǔ,Lúa nếp,Thử,ข้าวเหนียว (Khâao-nǐao),ကောက်ညှင်း (Kauk-hnyin),Millet (Mijè),Millet,"黏, 黐, 黎"
黑,hēi,Màu đen,Hắc,สีดำ (Sǐi-dam),အမည်းရောင် (A-mye-yaung),Noir (Nwar),Black,"默, 黛, 黠"
黹,zhǐ,May thêu,Chỉ,เย็บปัก (Yép-pàk),ပန်းထိုး (Pan-htoe),Broderie (Brodri),Embroidery,"黻, 黼"
黽,mǐn,Con ếch,Mẫn,กบ (Kòp),ဖား (Hpar),Grenouille (Grenuj),Frog/Toad,"鼋, 鼍, 黾"
鼎,dǐng,Cái đỉnh,Đỉnh,กระถาง (Kra-thǎang),ကျောက်ပန်းကန် (Kyauk-pan-gan),Trépied (Trepjè),Tripod,"鼐, 鼒"
鼓,gǔ,Cái trống,Cổ,กลอง (Klaawng),ဗုံ (Bone),Tambour (Tãbur),Drum,"鼙, 鼗, 鼔"
鼠,shǔ,Con chuột,Thử,หนู (Nǔu),ကြွက် (Kyet),Souris (Suri),Rat/Mouse,"鼬, 鼢, 鼷"
鼻,bí,Mũi,Tị,จมูก (Cha-mùuk),နှာခေါင်း (Hnar-gaung),Nez (Ne),Nose,"鼾, 齄, 齇"
齊,qí,Đều nhau,Tề,เท่ากัน (Thâo-kan),ညီတူညီမျှ (Nyee-tu-nyee-hmyar),Égal (Egal),Even/Uniform,"齋, 齏"
齒,chǐ,Răng,Sỉ,ฟัน (Fan),သွား (Thwar),Dent (Dã),Tooth,"龋, 龈, 龅"
龍,lóng,Con rồng,Long,มังกร (Mang-kaawn),နဂါး (Na-gar),Dragon (Dragõ),Dragon,"龚, 龛, 龘"
龜,guī,Con rùa,Quy,เต่า (Tào),လိပ် (Leik),Tortue (Torty),Turtle,"龝, 龞"
龠,yuè,Sáo ba lỗ,Yược,ขลุ่ย (Khlùy),ပုလွေ (Pa-lway),Flûte (Flyt),Flute,"龢, 龤"
无,wú,Không có,Vô,ไม่มี (Mâi-mii),မရှိ (Ma-shi),Sans (Sã),Not,"旡, 既, 旣"
日,rì,Mặt trời,Nhật,พระอาทิตย์ (Phra-aa-thít),နေ (Nay),Soleil (Solɛj),Sun,"時, 晚, 晴"
曰,yuē,Nói rằng,Viết,กล่าวว่า (Klàao-wâa),ပြောဆိုသည် (Pyaw-so-the),Dire (Dir),Say,"曲, 更, 曹"
月,yuè,Mặt trăng,Nguyệt,พระจันทร์ (Phra-chan),လ (La),Lune (Lun),Moon,"有, 朋, 望"
木,mù,Cây,Mộc,ต้นไม้ (Tôn-mâai),သစ်ပင် (Thit-pin),Bois (Bwa),Tree,"末, 柳, 橋"
欠,qiàn,Ngáp/Thiếu,Khiếm,หาว (Hǎao),သမ်းခြင်း (Than-jin),Bâiller (Bajè),Owe/Yawn,"次, 欣, 欲"
止,zhǐ,Dừng lại,Chỉ,หยุด (Yùt),ရပ်တန့် (Yat-tant),Arrêter (Arɛtè),Stop,"正, 此, 步"
歹,dǎi,Xấu/Chết,Đãi,เลว/ตาย (Leew/Taay),ဆိုးယုတ်သော (Soe-yoke-thaw),Mort (Mɔr),Death,"死, 歿, 殯"
殳,shū,Binh khí,Thù,อาวุธ (Aa-wút),လက်နက် (Let-net),Lance (Lãs),Weapon,"段, 殷, 殼"
毋,wú,Đừng,Vô,อย่า (Yàa),မပြုနှင့် (Ma-pyu-hnint),Ne pas (Ne pa),Do not,"母, 每, 毒"
比,bǐ,So sánh,Tỷ,เปรียบเทียบ (Prìap-thîap),နှိုင်းယှဉ် (Hnine-yhin),Comparer (Kõparè),Compare,"畢, 毖, 毗"
毛,máo,Lông,Mao,ขน (Khon),အမွှေး (A-hmway),Poil (Pwal),Hair,"毯, 毫, 毳"
氏,shì,Họ,Thị,ตระกูล (Tra-kuun),မျိုးနွယ် (Myo-nwe),Clan (Klã),Clan,"民, 氓, 氐"
气,qì,Hơi/Khí,Khí,อากาศ (Aa-kàat),လေ (Lay),Air/Gaz (Ɛr/Gaz),Air,"氛, 氧, 氮"
