原型 (Prototype),詞性,中文意義,筆記中的形式
être,動詞,是 (be),était / étaient
avoir,動詞,有 (have),avait
la ville,名詞 (陰),城市,ville
la voiture,名詞 (陰),汽車,voitures
le piéton,名詞 (陽),行人,piétons
le Moyen Âge,名詞 (陽),中世紀,Au moyen âge
le rempart,名詞 (陽),城牆；堡壘,remparts
l'espace,名詞 (陽),空間,l'espace
la pierre,名詞 (陰),石頭,pierre
graver,動詞,雕刻,gravée
défendre,動詞,防禦；保衛,défendre
garder,動詞,守衛；保留,gardé
redessiner,動詞,重新設計,redessiné
étroit,形容詞 (陽),狹窄的,étroites
médiéval,形容詞 (陽),中世紀的,médiévale
vieux,形容詞 (陽),老的；舊的,vieux
étrange,形容詞,奇怪的,étrange
contre,介係詞,對抗；反對,contre
