繁體,拼音,越南語,簡體,例句
使用,shǐ yòng,sử dụng,使用,請使用這台電腦。
方式,fāng shì,phương thức / cách thức,方式,我喜歡他的教學方式。
重視,zhòng shì,coi trọng / chú trọng,重视,老闆很重視這份工作。
程度,chéng dù,trình độ / mức độ,程度,他的中文程度很好。
性格,xìng gé,tính cách,性格,她的性格很溫柔。
內向,nèi xiàng,hướng nội,内向,哥哥比較內向，不愛說話。
外向,wài xiàng,hướng ngoại,外向,妹妹很外向，喜歡交朋友。
像,xiàng,giống / như,像,你長得很像你媽媽。
道理,dào lǐ,đạo lý / lý lẽ,道理,你說的話很有道理。
生活方式,shēng huó fāng shì,lối sống / cách sống,生活方式,健康的生活方式很重要。
不斷,bú duàn,không ngừng / liên tục,不断,科技不斷地進步。
增加,zēng jiā,tăng thêm / gia tăng,增加,最近我的體重增加了。
努力,nǔ lì,nỗ lực / cố gắng,努力,為了考試，他非常努力。
不必,bú bì,không cần thiết / không cần,不必,這是小事，不必擔心。
價值,jià zhí,giá trị,价值,這張畫很有價值。
