漢語,漢語拼音,越南語,泰文（含romanji）,緬文（含romanji）,英文,法文,台語（臺羅）
架,jiàchiếc｜ลำ (lam)｜စီး (see)｜measure word for planes｜classificateur｜架 (kà)
搭飛機,dā fēijī,đi máy bay,"ขึ้นเครื่องบิน (khuen khrueang bin)","လေယာဉ်စီး (lay yin see)",take a plane,prendre l'avion,搭飛機 (tah-hue-ki)
天氣,tiānqì,thời tiết,อากาศ (a-kat),ရာသီဥတု (yar thi u du),weather,temps,天氣 (thinn-khì)
晴朗,qínglǎng,trong lành,แจ่มใส (chaem sai),သာယာသော (thar yar thaw),sunny,ensoleillé,晴朗 (chîng-lóng)
興奮,xīngfèn,phấn khích,ตื่นเต้น (tuen ten),စိတ်လှုပ်ရှား (sait hlope shar),excited,excité,興奮 (hīng-hùn)
不安,bù'ān,bất an,ไม่สบายใจ (mai sa-bai chai),စိတ်မအေး (sait ma ay),uneasy,inquiet,不安 (put-an)
外公,wàigōng,ông ngoại,ตา (ta),အဖိုး (a phoe),maternal grandfather,grand-père maternel,外公 (guā-kong)
外婆,wàipó,bà ngoại,ยาย (yai),အဖွား (a phwar),maternal grandmother,grand-mère maternelle,外婆 (guā-pô)
寬廣,kuānguǎng,rộng lớn,กว้างขวาง (kwang khwang),ကျယ်ပြန့်သော (kyal pyant thaw),vast,vaste,寬闊 (khuan-khuah)
稻田,dàotián,ruộng lúa,นาข้าว (na khao),လယ်ကွင်း (lal kwin),rice field,rizière,稻仔田 (tiū-á-tshân)
叮嚀,dīngníng,dặn dò,กำชับ (gam chap),မှာကြား (mhar kyar),urge,exhorter,叮嚀 (ting-lîng)
忘記,wàngjì,quên,ลืม (luem),မေ့ (may),forget,oublier,袂記得 (buē-kì-tit)
點頭,diǎntóu,gật đầu,พยักหน้า (phayak na),ခေါင်းညိတ် (khuany nate),nod,hocher la tête,點頭 (tiám-thâu)
黑點,hēidiǎn,chấm đen,จุดดำ (chut dam),အမည်းစက် (a mee set),black dot,point noir,黑點 (oo-tiám)
盡頭,jìntóu,cuối đường,สุดทาง (sut thang),အဆုံး (a sone),end,bout,盡頭 (tsìn-thâu)
珍貴,zhēnguì,quý giá,ล้ำค่า (lam kha),အဖိုးတန် (a phoe tan),precious,précieux,珍貴 (tin-kuì)
藏,cáng,giấu,ซ่อน (son),ဝှက် (hwet),hide,cacher,藏 (tshàng)
"嘴（巴）","zuǐ (ba)",miệng,ปาก (pak),ပါးစပ် (par sut),mouth,bouche,喙 (tshuì)
緊緊,jǐnjǐn,chặt chẽ,แน่นๆ (naen naen),တင်းတင်းကြပ်ကြပ် (tin tin kyat kyat),tightly,étroitement,絚絚 (ân-ân)
閉著,bìzhe,nhắm/đóng,ปิดอยู่ (pit yu),ပိတ်ထား (pate htar),closed,fermé,閉咧 (pì-leh)
嘴唇,zuǐchún,môi,ริมฝีปาก (rim fi pak),နှုတ်ခမ်း (hnote kham),lips,lèvres,喙唇 (tshuì-tshun)
一直到,yīzhí dào,cho đến khi,จนกระทั่ง (chon kra-thang),အထိ (a hti),until,jusqu'à,一直到 (it-ti̍t-kàu)
依然,yīrán,vẫn như cũ,ยังคง (yang khong),အရင်အတိုင်း (a yin a tine),still,toujours,依然 (i-jiân)
大團的白雲,dà tuán de báiyún,đám mây trắng lớn,เมฆขาวก้อนใหญ่ (mek khao kon yai),တိမ်ဖြူတိမ်လိပ်ကြီးများ (tein phyu tein late kyee myar),large white clouds,gros nuages blancs,大重白雲 (tuā-tāng pe̍h-hûn)
耳朵,ěrduo,tai,หู (hu),နား (nar),ear,oreille,耳仔 (hīnn-á)
故鄉,gùxiāng,quê hương,บ้านเกิด (ban koet),နေရပ်ဇာတိ (nay yet zar ti),hometown,ville natale,故鄉 (kòo-hiong)
而,ér,mà,"แต่/และ (tae / lae)",နှင့် (nhint),and/but,tandis que,而 (jî)
鄰座,línzuò,chỗ ngồi bên cạnh,ที่นั่งข้างๆ (thi nang khang khang),ဘေးနားကထိုင်ခုံ (bay nar ka htain khone),adjacent seat,siège voisin,隔壁位 (keh-piah-uī)
鄰居,línjū,hàng xóm,เพื่อนบ้าน (phuean ban),အိမ်နီးချင်း (ain nee chin),neighbor,voisin,厝邊 (tshù-pinn)
傻瓜,shǎguā,kẻ ngốc,คนโง่ (khon ngo),လူအ (lu a),fool,imbécile,戇大呆 (gōng-tuā-tāi)
抬頭,táitóu,ngẩng đầu,เงยหน้า (ngoey na),မော့ကြည့် (mawt kyi),look up,lever la tête,夯頭 (giâ-thâu)
低頭,dītóu,cúi đầu,ก้มหน้า (kom na),ခေါင်းငုံ့ (khuany ngote),lower head,baisser la tête,垂頭 (suî-thâu)
滿腔,mǎnqiāng,đầy lòng,เต็มอกเต็มใจ (tem ok tem chai),ရင်ထဲအပြည့် (yin hte a pyay),full of,plein de,滿腔 (buán-khiong)
期待,qīdài,mong đợi,ความคาดหวัง (khwam khat wang),မျှော်လင့်ချက် (hmyaw lint chet),expectation,attente,期待 (kî-thāi)
載,zài,chở,บรรทุก (ban thuk),တင်ဆောင် (tin saung),carry,transporter,載 (tsái)
載過來,zài guòlái,chở qua đây,รับมา (rap ma),တင်ဆောင်လာသည် (tin saung lar thi),carry over,amener,載過來 (tsái-kuè-lâi)

