生詞,拼音,越南語翻譯,泰文翻譯（含音標）,法文（含音標）,中文例句
得意,dé yì,đắc ý,ภูมิใจ (phūm-jai),fier /fjeʁ/,他考了第一名，感到很得意。
遞,dì,đưa,ส่ง (sòng),passer /pa.se/,請把那本書遞給我。
邊縫,biān fèng,đường may viền,ตะเข็บ (tà-khèp),couture /ku.tyʁ/,這件衣服的邊縫裂開了。
重新,chóng xīn,lại,ทำใหม่ (tham-mài),à nouveau /a nu.vo/,我們重新寫一次作業吧。
縫,féng,khâu,เย็บ (yép),coudre /kudʁ/,媽媽在幫我縫衣服。
一遍,yí biàn,một lần,หนึ่งรอบ (nèung-rôp),une fois /yn fwa/,請你再說一遍。
穿（鞋子）,chuān,mang (giày),ใส่ (sài),mettre /mɛtʁ/,出門前要先穿好鞋子。
壞,huài,hỏng,เสีย (sǐa),cassé /ka.se/,我的玩具弄壞了。
脫（下）,tuō,cởi,ถอด (thòt),enlever /ɑ̃.lve/,進屋子要記得脫鞋。
加強,jiā qiáng,tăng cường,เสริม (sěrm),renforcer /ʁɑ̃.fɔʁ.se/,我要加強練習英文。
交（給）,jiāo,giao cho,ส่งมอบ (sòng-môp),donner /dɔ.ne/,請把作業交給老師。
顧客,gù kè,khách hàng,ลูกค้า (lûk-khá),client /kli.jɑ̃/,店裡有很多顧客在買東西。
終身,zhōng shēn,suốt đời,ตลอดชีวิต (tà-lòt-chī-wít),à vie /a vi/,他獲得了終身榮譽。
免費,miǎn fèi,miễn phí,ฟรี (frī),gratuit /ɡʁa.tɥi/,這個公園是免費入場的。
福利,fú lì,phúc lợi,สวัสดิการ (sà-wàt-dì-kān),avantage /a.vɑ̃.taʒ/,公司的員工福利很好。
慷慨,kāng kǎi,hào hiệp,ใจกว้าง (jai-kwâng),généreux /ʒe.ne.ʁø/,他為人慷慨，常幫助別人。
真的嗎？,zhēn de ma,thật không?,จริงเหรอ (jing-rǒe),Vraiment ? /vʁɛ.mɑ̃/,這是送給我的嗎？真的嗎？
肯定,kěn dìng,khẳng định,แน่นอน (nâe-nōn),certain /sɛʁ.tɛ̃/,我肯定他今天會來。
認真,rèn zhēn,nghiêm túc,ตั้งใจ (tâng-jai),sérieux /se.ʁjø/,哥哥讀書非常認真。
針線,zhēn xiàn,kim chỉ,เข็มและด้าย (khěm-láe-dâai),aiguille et fil /e.ɡɥij e fil/,奶奶用針線補衣服。
球鞋,qiú xié,giày thể thao,รองเท้ากีฬา (rɔ̄ng-tháo-kī-lā),baskets /bas.kɛt/,我穿球鞋去操場跑步。
輕鬆,qīng sōng,nhẹ nhàng,สบาย (sà-bāai),facile /fa.sil/,考完試後，我感到很輕鬆。
吃力,chī lì,vất vả,เหนื่อย (nùeay),laborieux /la.bɔ.ʁjø/,搬這麼重的水桶很吃力。
膝蓋,xī gài,đầu gối,เข่า (khào),genou /ʒə.nu/,我跌倒傷到了膝蓋。
頂,dǐng,chống,ดัน (dan),presser /pʁɛ.se/,他用膝蓋頂住門。
使勁,shǐ jìn,gắng sức,ออกแรง (òrk-raeng),forcer /fɔʁ.se/,只要使勁推，門就會開。
穿（過）,chuān,xuyên qua,ทะลุ (thá-lú),traverser /tʁa.vɛʁ.se/,針尖穿過了鞋底。
鞋底,xié dǐ,đế giày,พื้นรองเท้า (phúen-rɔ̄ng-tháo),semelle /sə.mɛl/,這雙鞋的鞋底很軟。
膠皮,jiāo pí,cao su,ยาง (yaāng),caoutchouc /ka.ut.ʃu/,輪胎是由膠皮做的。
硬,yìng,cứng,แข็ง (khǎeng),dur /dyʁ/,這塊石頭非常硬。
花（時間）,huā,tốn (thời gian),ใช้เวลา (chái-wē-lā),passer du temps /pa.se dy tɑ̃/,我花了一個小時寫功課。
雙（鞋）,shuāng,đôi,คู่ (khûu),paire /pɛʁ/,他買了一雙新鞋子。
破,pò,rách,ขาด (khàat),troué /tʁu.e/,這件舊衣服已經破了。
浸水,jìn shuǐ,ngấm nước,น้ำเข้า (nám-khâo),prendre l'eau /pʁɑ̃.dʁə lo/,鞋子浸水後變得很重。
襪子,wà zi,tất,ถุงเท้า (thǔng-tháo),chaussettes /ʃo.sɛt/,我的襪子有一隻不見了。
濕濕,shī shī,ẩm ướt,เปียก (pìak),mouillé /mu.je/,雨淋濕了，全身濕濕的。
摀,wǔ,che/phủ,ปิด (pìat),couvrir /ku.vʁiʁ/,他用手摀住嘴巴笑。
腳,jiǎo,chân,เท้า (tháo),pied /pje/,走路走太久，腳很痠。
整天,zhěng tiān,cả ngày,ทั้งวัน (tháng-wan),toute la journée /tut la ʒuʁ.ne/,妹妹整天都在畫畫。
舒服,shū fu,thoải mái,สบาย (sà-bāai),confortable /kɔ̃.fɔʁ.tabl/,躺在沙發上很舒服。
但是,dàn shì,nhưng,แต่ (tàe),mais /mɛ/,我想去玩，但是要先寫作業。
