 French,IPA,Translation,Verb_Infinitive,Noun_Gender
Je vais bien,/ʒə vɛ bjɛ̃/,我很好,aller,
je te remercie,/ʒə tə ʁə.mɛʁ.si/,我謝謝你,remercier,
secrets,/sə.kʁɛ/,秘密,,un (secret)
les plus visités,/le ply vi.zi.te/,最受歡迎的,visiter,
ce que peu savent,/sə kə pø sav/,鮮為人知的事,savoir,
cache aussi,/kaʃ o.si/,也隱藏著,cacher,
mystères,/mis.tɛʁ/,奧秘 / 謎團,,un (mystère)
fantômes,/fɑ̃.tom/,幽靈 / 鬼魂,,un (fantôme)
On verra ça,/ɔ̃ ve.ʁa sa/,到時候再說,voir,
revenons,/ʁə.və.nɔ̃/,讓我們回到...,revenir,
pavillon de chasse,/pa.vi.jɔ̃ də ʃas/,狩獵行宮,,un (pavillon) / une (chasse)
qui en a fait ce palais gigantesque,/ki ɑ̃.n‿a fɛ sə pa.lɛ ʒi.ɡɑ̃.tɛsk/,誰把它變成了這座巨大的宮殿,faire,un (palais)
voulait,/vu.lɛ/,想要 (過去式),vouloir,
hauteur de sa gloire,/o.tœʁ də sa ɡlwaʁ/,榮耀的高峰,,une (hauteur) / une (gloire)
d'ouvriers,/d‿u.vʁi.je/,工人們,,un (ouvrier)
un lieu grandiose,/œ̃ ljø ɡʁɑ̃.djoz/,一個宏偉的地方,,un (lieu)
devait refléter la puissance du roi,/də.vɛ ʁə.fle.te la pɥi.sɑ̃s dy ʁwa/,必須反映出國王的權力,devoir / refléter,une (puissance) / un (roi)
les dorures,/le dɔ.ʁyʁ/,鍍金裝飾,,une (dorure)
symbolise le centre du monde,/sɛ̃.bɔ.li.zə lə sɑ̃.tʁə dy mɔ̃d/,象徵著世界的中心,symboliser,un (centre) / un (monde)
son outil de pouvoir,/sɔ̃.n‿u.ti də pu.vwaʁ/,他的權力工具,,un (outil) / un (pouvoir)
une manière de montrer sa supériorité,/yn ma.njɛʁ də mɔ.tʁe sa sy.pe.ʁjɔ.ʁi.te/,一種展示其優越地位的方式,montrer,une (manière) / une (supériorité)
une vie très codée,/yn vi tʁɛ ko.de/,一種非常有條理/充滿規範的生活,,une (vie)
était public,/e.tɛ py.blik/,是公開的,être,
son levé,/sɔ̃ lə.ve/,他的起床儀式,,un (levé)
son repas,/sɔ̃ ʁə.pa/,他的用餐,,un (repas)
vivaient,/vi.vɛ/,居住 (複數),vivre,
la noblesse,/la nɔ.blɛs/,貴族,,une (noblesse)
suivre le protocole,/sɥi.vʁə lə pʁɔ.tɔ.kɔl/,遵守禮節,suivre,un (protocole)
dépendre entièrement du roi,/de.pɑ̃.dʁə ɑ̃.tjɛʁ.mɑ̃ dy ʁwa/,完全依賴國王,dépendre,un (roi)
régnaient sur la France,/ʁe.ɲɛ syʁ la fʁɑ̃s/,統治著法國,régner,une (France)
l'emploi de temps,/l‿ɑ̃.plwa də tɑ̃/,時間表,,un (emploi) / un (temps)
la galerie de glaces,/la ɡal.ʁi də ɡlas/,鏡廳,,une (galerie) / une (glace)
les appartements du roi,/le.z‿a.paʁ.tə.mɑ̃ dy ʁwa/,國王套房,,un (appartement) / un (roi)
