漢字,拼音,越南語,泰語(含拼音)
故鄉,gù xiāng,quê hương,บ้านเกิด (baan koet)
出生,chū shēng,sinh ra,เกิด (koet)
長大,zhǎng dà,lớn lên,โตขึ้น (to khuen)
出生長大,chū shēng zhǎng dà,sinh ra và lớn lên,เกิดและเติบโต (koet lae toep to)
以後,yǐ hòu,sau này,ภายหลัง (phai lang)
很久,hěn jiǔ,rất lâu,นานมาก (nan mak)
什麼樣子,shén me yàng zi,trông như thế nào,เป็นแบบไหน (pen baep nai)
家家戶戶,jiā jiā hù hù,nhà nhà,ทุกครัวเรือน (thuk khrua ruean)
冰箱,bīng xiāng,tủ lạnh,ตู้เย็น (tu yen)
洗衣機,xǐ yī jī,máy giặt,เครื่องซักผ้า (khrueang sak pha)
汽車,qì chē,ô tô,รถยนต์ (rot yon)
南瓜,nán guā,bí ngô,ฟักทอง (fak thong)
大十倍,dà shí bèi,lớn gấp mười lần,ใหญ่กว่าสิบเท่า (yai kwa sip thao)
檳榔,bīn láng,quả cau,หมาก (mak)
就像,jiù xiàng,giống như,เหมือนกับ (muean kap)
貧窮,pín qióng,nghèo khổ,ยากจน (yak chon)
感冒,gǎn mào,cảm cúm,เป็นหวัด (pen wat)
病菌,bìng jùn,vi khuẩn,เชื้อโรค (chuea rok)
全世界,quán shì jiè,toàn thế giới,ทั่วโลก (thua lok)
任何,rèn hé,bất kỳ,ใดๆ (dai dai)
角落,jiǎo luò,góc,มุม (mum)
明白,míng bái,hiểu,เข้าใจ (khao chai)
長大後才明白,zhǎng dà hòu cái míng bái,lớn lên mới hiểu được,โตขึ้นถึงจะเข้าใจ (to khuen thueng cha khao chai)
