生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
郵局,yóu jú,bưu điện,ที่ทำการไปรษณีย์,post office,爸爸給小明十元，請他到郵局買郵票。,Bố đưa Tiểu Minh 10 đồng và bảo cậu ấy đến bưu điện mua tem.,พ่อให้เสี่ยวหมิงสิบหยวน และขอให้เขาไปที่ทำการไปรษณีย์ซื้อแสตมป์,Dad gave Xiaoming ten dollars and asked him to buy stamps at the post office.
郵票,yóu piào,tem thư,แสตมป์,stamp,小明買了兩張郵票，準備把兩封信寄出去。,"Tiểu Minh mua hai con tem, chuẩn bị gửi hai lá thư đi.",เสี่ยวหมิงซื้อแสตมป์สองดวง เตรียมส่งจดหมายสองฉบับออกไป,Xiaoming bought two stamps and prepared to send out two letters.
封信,fēng xìn,lá thư,ฉบับจดหมาย,letter measure word / letter,爸爸要小明把這兩封信寄給兩位伯伯。,Bố muốn Tiểu Minh gửi hai lá thư này cho hai bác.,พ่ออยากให้เสี่ยวหมิงส่งจดหมายสองฉบับนี้ให้คุณลุงสองคน,Dad wanted Xiaoming to send these two letters to two uncles.
寄出去,jì chū qù,gửi đi,ส่งออกไป,send out / mail out,小明回來以後說，他已經把信寄出去了。,"Sau khi Tiểu Minh quay về, cậu ấy nói đã gửi thư đi rồi.",หลังเสี่ยวหมิงกลับมา เขาบอกว่าเขาส่งจดหมายออกไปแล้ว,"After Xiaoming came back, he said he had sent the letters out."
王伯伯,Wáng bó bo,bác Vương,คุณลุงหวัง,Uncle Wang,這一封信是給王伯伯的，請不要寄錯。,"Lá thư này là gửi cho bác Vương, xin đừng gửi nhầm.",จดหมายฉบับนี้ส่งให้คุณลุงหวัง กรุณาอย่าส่งผิด,"This letter is for Uncle Wang, so please do not send it to the wrong person."
另外,lìng wài,ngoài ra / một cái khác,อีก / นอกจากนี้,another / in addition,這封信是給王伯伯的，另外一封是給李伯伯的。,"Lá thư này là gửi cho bác Vương, lá còn lại là gửi cho bác Lý.",จดหมายฉบับนี้ให้คุณลุงหวัง อีกฉบับให้คุณลุงหลี่,"This letter is for Uncle Wang, and the other one is for Uncle Li."
剩,shèng,còn lại,เหลือ,remain / be left,小明買完郵票以後，還剩五塊錢。,"Sau khi Tiểu Minh mua tem xong, vẫn còn lại 5 đồng.",หลังเสี่ยวหมิงซื้อแสตมป์เสร็จ ยังเหลือเงินห้าหยวน,"After Xiaoming bought the stamps, he still had five dollars left."
回答,huí dá,trả lời,ตอบ,answer,爸爸問他為什麼還有錢，小明馬上回答了。,"Bố hỏi cậu ấy tại sao vẫn còn tiền, Tiểu Minh lập tức trả lời.",พ่อถามเขาว่าทำไมยังมีเงินเหลือ เสี่ยวหมิงตอบทันที,"Dad asked why he still had money, and Xiaoming answered right away."
信,xìn,thư,จดหมาย,letter,小明把一封信裝進另外一封信裡，覺得可以少花錢。,"Tiểu Minh đặt một lá thư vào trong lá thư khác, nghĩ rằng có thể tốn ít tiền hơn.",เสี่ยวหมิงใส่จดหมายฉบับหนึ่งไว้ในจดหมายอีกฉบับ คิดว่าจะใช้เงินน้อยลงได้,"Xiaoming put one letter inside another, thinking he could spend less money."
裝,zhuāng,đựng / bỏ vào,ใส่,put into / pack,媽媽把水果裝在袋子裡，讓小明帶去學校。,Mẹ bỏ trái cây vào túi để Tiểu Minh mang đến trường.,แม่ใส่ผลไม้ลงในถุง เพื่อให้เสี่ยวหมิงเอาไปโรงเรียน,Mom put the fruit into a bag for Xiaoming to take to school.
不必,bú bì,không cần,ไม่จำเป็นต้อง,do not need to,如果兩封信放在一起，小明以為就不必多買郵票。,"Nếu đặt hai lá thư chung với nhau, Tiểu Minh tưởng là không cần mua thêm tem.",ถ้าเอาจดหมายสองฉบับใส่ไว้ด้วยกัน เสี่ยวหมิงคิดว่าไม่จำเป็นต้องซื้อแสตมป์เพิ่ม,"If two letters were put together, Xiaoming thought he would not need to buy another stamp."
花,huā,tiêu / dùng tiền,ใช้เงิน,spend,小明不想多花五塊錢，所以只買了一張郵票。,"Tiểu Minh không muốn tiêu thêm 5 đồng, nên chỉ mua một con tem.",เสี่ยวหมิงไม่อยากใช้เงินเพิ่มห้าหยวน ดังนั้นจึงซื้อแสตมป์เพียงดวงเดียว,"Xiaoming did not want to spend five more dollars, so he bought only one stamp."
發生,fā shēng,xảy ra,เกิดขึ้น,happen,如果王伯伯沒有收到信，爸爸一定會問發生什麼事。,"Nếu bác Vương không nhận được thư, bố chắc chắn sẽ hỏi đã xảy ra chuyện gì.",ถ้าคุณลุงหวังไม่ได้รับจดหมาย พ่อต้องถามแน่ว่าเกิดอะไรขึ้น,"If Uncle Wang does not receive the letter, Dad will surely ask what happened."
最近,zuì jìn,gần đây,ช่วงนี้ / ล่าสุด,recently,最近越來越多人喜歡上網買東西。,Gần đây ngày càng nhiều người thích mua đồ trên mạng.,ช่วงนี้มีคนชอบซื้อของออนไลน์มากขึ้นเรื่อย ๆ,"Recently, more and more people like shopping online."
越來越,yuè lái yuè,ngày càng,มากขึ้นเรื่อย ๆ,more and more,上網買東西越來越流行，很多人每天都看購物網站。,"Mua đồ trên mạng ngày càng phổ biến, nhiều người ngày nào cũng xem trang mua sắm.",การซื้อของออนไลน์เป็นที่นิยมมากขึ้นเรื่อย ๆ หลายคนดูเว็บไซต์ซื้อของทุกวัน,"Online shopping is becoming more and more popular, and many people look at shopping websites every day."
流行,liú xíng,thịnh hành / phổ biến,เป็นที่นิยม,popular / fashionable,這種衣服今年很流行，所以很多年輕人都想買。,"Loại quần áo này năm nay rất thịnh hành, nên nhiều người trẻ đều muốn mua.",เสื้อผ้าแบบนี้ปีนี้เป็นที่นิยมมาก ดังนั้นคนหนุ่มสาวหลายคนอยากซื้อ,"This kind of clothing is popular this year, so many young people want to buy it."
上網,shàng wǎng,lên mạng,ใช้อินเทอร์เน็ต / ออนไลน์,go online,小美常常上網比較價錢以後再買東西。,Tiểu Mỹ thường lên mạng so sánh giá rồi mới mua đồ.,เสี่ยวเหม่ยมักใช้อินเทอร์เน็ตเปรียบเทียบราคาก่อนแล้วค่อยซื้อของ,Xiaomei often goes online to compare prices before buying things.
