生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
等一下,děng yí xià,một lát nữa / đợi chút,เดี๋ยว / รอสักครู่,in a moment / wait a bit,我們等一下要去書店，所以現在先把功課寫完。,"Một lát nữa chúng ta sẽ đi hiệu sách, nên bây giờ hãy làm xong bài tập trước.",เดี๋ยวพวกเราจะไปร้านหนังสือ ดังนั้นตอนนี้ทำการบ้านให้เสร็จก่อน,"We are going to the bookstore in a moment, so let’s finish our homework first."
書店,shū diàn,hiệu sách,ร้านหนังสือ,bookstore,小美下午想去書店買一本介紹日本風景的旅遊書。,Chiều nay Tiểu Mỹ muốn đi hiệu sách mua một cuốn sách du lịch giới thiệu phong cảnh Nhật Bản.,ตอนบ่ายเสี่ยวเหม่ยอยากไปร้านหนังสือเพื่อซื้อหนังสือท่องเที่ยวที่แนะนำวิวญี่ปุ่น,Xiaomei wants to go to the bookstore this afternoon to buy a travel book about Japanese scenery.
門口,mén kǒu,cổng / cửa ra vào,หน้าประตู / ทางเข้า,entrance / doorway,他們約好三點在書店門口見面，然後一起去吃冰淇淋。,"Họ đã hẹn gặp nhau lúc ba giờ trước cửa hiệu sách, sau đó cùng đi ăn kem.",พวกเขานัดกันตอนสามโมงที่หน้าร้านหนังสือ แล้วค่อยไปกินไอศกรีมด้วยกัน,"They agreed to meet at the bookstore entrance at three, and then go eat ice cream together."
見面,jiàn miàn,gặp mặt,พบกัน,to meet,因為三點有一點晚，他們決定早半個小時見面。,"Vì ba giờ hơi muộn, họ quyết định gặp nhau sớm hơn nửa tiếng.",เพราะสามโมงช้าไปนิด พวกเขาจึงตัดสินใจเจอกันเร็วขึ้นครึ่งชั่วโมง,"Because three o’clock was a little late, they decided to meet half an hour earlier."
晚一點,wǎn yì diǎn,muộn hơn một chút,ช้าหน่อย,a little later,小華覺得三點見面晚一點，所以想把時間改到兩點半。,"Tiểu Hoa thấy gặp lúc ba giờ hơi muộn, nên muốn đổi thời gian thành hai giờ rưỡi.",เสี่ยวหัวคิดว่าการเจอกันตอนสามโมงช้าไปหน่อย จึงอยากเปลี่ยนเวลาเป็นบ่ายสองโมงครึ่ง,"Xiaohua thought meeting at three was a little late, so she wanted to change the time to two thirty."
早一點,zǎo yì diǎn,sớm hơn một chút,เร็วขึ้นหน่อย,a little earlier,如果你今天晚上有事，我們可以早一點在書店門口見面。,"Nếu tối nay bạn có việc, chúng ta có thể gặp nhau sớm hơn một chút trước cửa hiệu sách.",ถ้าคืนนี้คุณมีธุระ พวกเราสามารถเจอกันเร็วขึ้นหน่อยที่หน้าร้านหนังสือได้,"If you have something to do tonight, we can meet a little earlier at the bookstore entrance."
早半個小時,zǎo bàn ge xiǎo shí,sớm nửa tiếng,เร็วขึ้นครึ่งชั่วโมง,half an hour earlier,原來約三點見面，但是小美希望早半個小時到書店。,"Ban đầu hẹn gặp lúc ba giờ, nhưng Tiểu Mỹ muốn đến hiệu sách sớm hơn nửa tiếng.",เดิมทีนัดเจอกันตอนสามโมง แต่เสี่ยวเหม่ยอยากไปร้านหนังสือเร็วขึ้นครึ่งชั่วโมง,"They originally planned to meet at three, but Xiaomei wanted to arrive at the bookstore half an hour earlier."
介紹,jiè shào,giới thiệu,แนะนำ,to introduce,圖書館裡有一本書專門介紹臺灣的風景和美食。,Trong thư viện có một cuốn sách chuyên giới thiệu phong cảnh và món ngon của Đài Loan.,ในห้องสมุดมีหนังสือเล่มหนึ่งที่แนะนำวิวและอาหารอร่อยของไต้หวันโดยเฉพาะ,There is a book in the library that introduces Taiwan’s scenery and food.
風景,fēng jǐng,phong cảnh,ทิวทัศน์ / วิว,scenery,這本旅遊書的照片很漂亮，裡面介紹了很多日本風景。,"Ảnh trong cuốn sách du lịch này rất đẹp, bên trong giới thiệu nhiều phong cảnh Nhật Bản.",รูปในหนังสือท่องเที่ยวเล่มนี้สวยมาก ข้างในแนะนำวิวญี่ปุ่นหลายแห่ง,"The photos in this travel book are beautiful, and it introduces many scenic places in Japan."
旅遊書,lǚ yóu shū,sách du lịch,หนังสือท่องเที่ยว,travel book,她第一次去日本，所以想先買一本旅遊書做準備。,"Cô ấy lần đầu đi Nhật Bản, nên muốn mua một cuốn sách du lịch để chuẩn bị trước.",เธอไปญี่ปุ่นครั้งแรก จึงอยากซื้อหนังสือท่องเที่ยวมาเตรียมตัวก่อน,"It is her first time going to Japan, so she wants to buy a travel book to prepare."
號碼,hào mǎ,số / mã số,หมายเลข,number,你要找的書在中間二號，請先看書架上的號碼。,"Cuốn sách bạn muốn tìm ở khu số 2 giữa, xin hãy xem số trên kệ sách trước.",หนังสือที่คุณต้องการหาอยู่ตรงกลางหมายเลขสอง กรุณาดูหมายเลขบนชั้นหนังสือก่อน,"The book you are looking for is in middle section number two, so please check the number on the bookshelf first."
中間,zhōng jiān,ở giữa,ตรงกลาง,middle,日本旅遊書不在左邊，也不在右邊，而是在書店中間的架子上。,"Sách du lịch Nhật Bản không ở bên trái cũng không ở bên phải, mà ở trên kệ giữa hiệu sách.",หนังสือท่องเที่ยวญี่ปุ่นไม่ได้อยู่ซ้ายหรือขวา แต่อยู่บนชั้นตรงกลางของร้านหนังสือ,The Japan travel books are not on the left or right; they are on the shelf in the middle of the bookstore.
2號,èr hào,số 2,หมายเลข 2,number 2,如果你要找日本的書，請到中間的2號書架找。,"Nếu bạn muốn tìm sách về Nhật Bản, hãy đến kệ số 2 ở giữa để tìm.",ถ้าคุณต้องการหาหนังสือเกี่ยวกับญี่ปุ่น กรุณาไปหาที่ชั้นหมายเลข 2 ตรงกลาง,"If you want to find books about Japan, please look at shelf number 2 in the middle."
冰淇淋,bīng qí lín,kem,ไอศกรีม,ice cream,天氣很熱，所以他們想進去冰淇淋店吃一點冰淇淋。,"Thời tiết rất nóng, nên họ muốn vào tiệm kem ăn một ít kem.",อากาศร้อนมาก ดังนั้นพวกเขาอยากเข้าไปร้านไอศกรีมเพื่อกินไอศกรีมนิดหน่อย,"The weather is hot, so they want to go into the ice cream shop and have some ice cream."
種,zhǒng,loại,ชนิด / ประเภท,kind / type,這家店有很多種冰淇淋，客人常常不知道要選哪一種。,"Tiệm này có nhiều loại kem, khách thường không biết nên chọn loại nào.",ร้านนี้มีไอศกรีมหลายชนิด ลูกค้ามักไม่รู้ว่าจะเลือกชนิดไหนดี,"This shop has many kinds of ice cream, so customers often do not know which kind to choose."
味道,wèi dào,mùi vị / hương vị,รสชาติ,flavor / taste,巧克力冰淇淋的味道很濃，很多小孩都很喜歡。,"Vị kem sô-cô-la rất đậm, nhiều trẻ em đều rất thích.",รสชาติของไอศกรีมช็อกโกแลตเข้มข้นมาก เด็กหลายคนชอบมาก,"The chocolate ice cream has a rich flavor, and many children like it."
巧克力,qiǎo kè lì,sô-cô-la,ช็อกโกแลต,chocolate,小明最喜歡巧克力口味的冰淇淋，因為味道很甜。,Tiểu Minh thích nhất kem vị sô-cô-la vì hương vị rất ngọt.,เสี่ยวหมิงชอบไอศกรีมรสช็อกโกแลตที่สุด เพราะรสชาติหวานมาก,Xiaoming likes chocolate ice cream the most because it tastes sweet.
牛奶,niú nǎi,sữa bò,นม,milk,媽媽給弟弟買了一杯牛奶，還買了一球牛奶口味的冰淇淋。,"Mẹ mua cho em trai một ly sữa, và còn mua một viên kem vị sữa.",แม่ซื้อนมหนึ่งแก้วให้น้องชาย และยังซื้อไอศกรีมรสนมหนึ่งลูก,Mom bought my younger brother a cup of milk and also a scoop of milk-flavored ice cream.
焦糖,jiāo táng,caramen,คาราเมล,caramel,這家冰淇淋店的焦糖口味很受歡迎，下午常常賣完。,"Vị caramel của tiệm kem này rất được yêu thích, buổi chiều thường bán hết.",ไอศกรีมรสคาราเมลของร้านนี้ได้รับความนิยมมาก ตอนบ่ายมักขายหมด,The caramel flavor at this ice cream shop is very popular and often sells out in the afternoon.
草莓,cǎo méi,dâu tây,สตรอว์เบอร์รี,strawberry,妹妹想吃草莓口味的冰淇淋，所以爸爸帶她去排隊。,"Em gái muốn ăn kem vị dâu, nên bố dẫn em ấy đi xếp hàng.",น้องสาวอยากกินไอศกรีมรสสตรอว์เบอร์รี ดังนั้นพ่อจึงพาเธอไปต่อแถว,"My younger sister wanted strawberry ice cream, so Dad took her to wait in line."
抹茶,mǒ chá,matcha / trà xanh,มัทฉะ,matcha,哥哥覺得抹茶冰淇淋不太甜，所以每次都點這個口味。,"Anh trai thấy kem matcha không quá ngọt, nên lần nào cũng gọi vị này.",พี่ชายคิดว่าไอศกรีมมัทฉะไม่หวานมาก ดังนั้นทุกครั้งจึงสั่งรสนี้,"My older brother thinks matcha ice cream is not too sweet, so he orders this flavor every time."
香草,xiāng cǎo,vani,วานิลลา,vanilla,如果你不知道要吃什麼口味，可以先試試香草冰淇淋。,"Nếu bạn không biết muốn ăn vị gì, có thể thử kem vani trước.",ถ้าคุณไม่รู้ว่าจะกินรสอะไร สามารถลองไอศกรีมวานิลลาก่อนได้,"If you do not know what flavor to eat, you can try vanilla ice cream first."
口味,kǒu wèi,khẩu vị / hương vị,รสชาติ,flavor,這家店有巧克力、牛奶、草莓和抹茶四種口味。,"Tiệm này có bốn vị: sô-cô-la, sữa, dâu và matcha.",ร้านนี้มีสี่รส ได้แก่ ช็อกโกแลต นม สตรอว์เบอร์รี และมัทฉะ,"This shop has four flavors: chocolate, milk, strawberry, and matcha."
請客,qǐng kè,mời / đãi,เลี้ยง,to treat someone,今天是小美的生日，所以她想請客，請大家吃冰淇淋。,"Hôm nay là sinh nhật Tiểu Mỹ, nên cô ấy muốn đãi mọi người ăn kem.",วันนี้เป็นวันเกิดของเสี่ยวเหม่ย ดังนั้นเธออยากเลี้ยงไอศกรีมทุกคน,"Today is Xiaomei’s birthday, so she wants to treat everyone to ice cream."
照片,zhào piàn,tấm ảnh,รูปถ่าย,photo,小華拿出一張照片，告訴朋友這是她在船上拍的。,Tiểu Hoa lấy ra một tấm ảnh và nói với bạn rằng đây là ảnh cô ấy chụp trên thuyền.,เสี่ยวหัวหยิบรูปถ่ายออกมาหนึ่งใบ และบอกเพื่อนว่านี่คือรูปที่เธอถ่ายบนเรือ,Xiaohua took out a photo and told her friend that it was taken on a boat.
船上,chuán shàng,trên thuyền,บนเรือ,on a boat,他們全家人在船上拍了一張照片，照片裡每個人都很開心。,"Cả gia đình họ chụp một tấm ảnh trên thuyền, trong ảnh ai cũng rất vui.",ครอบครัวของพวกเขาถ่ายรูปบนเรือหนึ่งใบ ในรูปทุกคนดูมีความสุขมาก,"Their whole family took a photo on a boat, and everyone in the photo looked happy."
山上,shān shàng,trên núi,บนภูเขา,on the mountain,爺爺喜歡山上的空氣，所以週末常常帶奶奶去走路。,"Ông nội thích không khí trên núi, nên cuối tuần thường dẫn bà nội đi dạo.",คุณปู่ชอบอากาศบนภูเขา ดังนั้นวันหยุดสุดสัปดาห์มักพาคุณย่าไปเดินเล่น,"Grandpa likes the air in the mountains, so he often takes Grandma for walks there on weekends."
草坪上,cǎo píng shàng,trên bãi cỏ,บนสนามหญ้า,on the lawn,孩子們在草坪上玩球，爸爸在旁邊幫他們拍照片。,"Bọn trẻ chơi bóng trên bãi cỏ, bố ở bên cạnh chụp ảnh cho chúng.",เด็ก ๆ เล่นบอลบนสนามหญ้า พ่ออยู่ข้าง ๆ ช่วยถ่ายรูปให้พวกเขา,"The children played ball on the grass, and Dad took photos of them nearby."
戴,dài,đội / đeo,ใส่ / สวม,to wear,照片裡戴帽子的老人是小美的爺爺，他今年七十歲。,"Ông cụ đội mũ trong ảnh là ông nội của Tiểu Mỹ, năm nay ông bảy mươi tuổi.",คนแก่ที่สวมหมวกในรูปคือคุณปู่ของเสี่ยวเหม่ย ปีนี้ท่านอายุเจ็ดสิบปี,"The old man wearing a hat in the photo is Xiaomei’s grandfather, and he is seventy years old this year."
